Seed,Twos,DNA,Negtive Jokers,Blueprint/Brainstorm,Death
K8EBHPPJ ,15,0,5,0,0
B2UEK3XW ,16,0,4,0,0
QV97FPS3 ,15,0,4,0,0
VXTNB5FQ ,15,0,4,0,0
L4C4X346 ,15,0,3,1,1
6J9CSHXB ,15,0,3,1,0
7ZX7GMGR ,17,0,3,0,0
KTC9IQA6 ,16,0,3,0,0
24GO9WVO ,15,0,3,0,1
1W1NQTQE ,15,0,3,0,0
6M4R98YG ,15,1,3,0,0
D3AHG6OV ,15,0,3,0,0
DDJLCMZ3 ,15,0,3,0,0
M1W2B9DX ,15,0,3,0,0
N38ENU1L ,15,0,3,0,0
SF3D6LY9 ,15,0,3,0,0
TF4KDJGK ,15,0,3,0,0
VLCBETXD ,15,0,3,0,0
HV3EV6IF ,14,1,3,0,0
95ZGSNWY ,15,0,2,1,1
4S5F491D ,15,0,2,1,0
DPZZZNVK ,15,0,2,1,0
FEM9FX1Z ,15,0,2,1,0
OBD3C7X4 ,15,0,2,1,0
Y5R6MYCP ,15,0,2,1,0
JM9ZBXPZ ,17,0,2,0,0
K5EKNVAW ,17,1,2,0,0
5P9WIDRN ,16,0,2,0,0
DIP8R5MA ,16,0,2,0,0
UQYJSDP8 ,16,0,2,0,0
2VOUX13D ,15,0,2,0,1
AHMBV8ZM ,15,0,2,0,1
M388XDAT ,15,0,2,0,1
YNBO2NGC ,15,0,2,0,1
VRAPL1V  ,15,0,2,0,0
1MAANSYJ ,15,1,2,0,0
5237FOCJ ,15,0,2,0,0
55V8JB9Z ,15,0,2,0,0
6CACURX4 ,15,0,2,0,0
6NQDBOBP ,15,0,2,0,0
6OI17QMH ,15,0,2,0,0
6TJAROR7 ,15,0,2,0,0
74FCYXL5 ,15,0,2,0,0
823VEH7D ,15,0,2,0,0
8LCRVYO7 ,15,1,2,0,0
B3LJ137N ,15,0,2,0,0
CEXT4RQW ,15,0,2,0,0
DAUX4E2M ,15,0,2,0,0
EKNHTOOL ,15,0,2,0,0
FZGEDAJV ,15,0,2,0,0
HHS3GDL9 ,15,0,2,0,0
L5XZWJB4 ,15,0,2,0,0
MUQ8ZCAF ,15,0,2,0,0
P3W5AN75 ,15,0,2,0,0
QCG3HF3E ,15,1,2,0,0
Q555XU7H ,15,0,2,0,0
RJJT7UJJ ,15,0,2,0,0
RYTAP7AS ,15,0,2,0,0
TWS25S3V ,15,0,2,0,0
TPCUFVY7 ,15,0,2,0,0
V1XF2AQI ,15,0,2,0,0
WJ34TRNL ,15,1,2,0,0
YZDXTKR9 ,15,0,2,0,0
ZPSMNFBZ ,15,0,2,0,0
8L6433RP ,15,0,2,0,0
1MTXUI47 ,14,1,2,0,0
37E3B49P ,14,1,2,0,0
7NUV4N1I ,14,1,2,0,0
AWA5FHHB ,14,1,2,0,0
CLRC96YO ,14,1,2,0,0
F4YTHQQ1 ,14,1,2,0,0
IPID8CNK ,14,1,2,0,0
VTY3N1IR ,14,1,2,0,0
K3YNO9BQ ,15,0,1,2,0
BDXWL6NH ,17,0,1,1,0
9RUP2FS  ,16,0,1,1,0
CI4RZJ8I ,16,0,1,1,0
O4P9QK2M ,16,0,1,1,0
QX4HDYLL ,16,0,1,1,0
3QMQ1ET2 ,15,0,1,1,0
ACST4YXT ,15,0,1,1,0
EZNZHT9T ,15,0,1,1,0
JZZK3ATI ,15,0,1,1,0
NE9UOLMU ,15,0,1,1,0
POWMPWM6 ,15,0,1,1,0
WAQYK54P ,15,0,1,1,0
VL4BCFZ3 ,15,0,1,1,0
UVZQS5L  ,18,0,1,0,1
IYJYXKQK ,18,0,1,0,0
TOIJYFNG ,17,0,1,0,1
3L6BEPPO ,17,0,1,0,0
698AVQSU ,17,0,1,0,0
EABI44G3 ,17,0,1,0,0
GU2MN15P ,17,0,1,0,0
ZA3DYCE7 ,17,1,1,0,0
RJ7AIO5J ,16,0,1,0,1
1KQRUHN2 ,16,0,1,0,0
21WAP3SJ ,16,0,1,0,0
23LXOCIV ,16,0,1,0,0
2AYDHRGH ,16,0,1,0,0
2GNBMIYT ,16,1,1,0,0
2JGQMVZ7 ,16,0,1,0,0
3NAXNVAS ,16,0,1,0,0
41W6S8IZ ,16,0,1,0,0
457LO5YM ,16,0,1,0,0
6XVCZN3H ,16,0,1,0,0
7FMEHE4F ,16,0,1,0,0
8WYO3XY9 ,16,0,1,0,0
8PG7IUSD ,16,0,1,0,0
BCK5IW3E ,16,0,1,0,0
CUJZV8DB ,16,0,1,0,0
DQZXKLKD ,16,0,1,0,0
D9PQFF45 ,16,0,1,0,0
DEBB2P3L ,16,0,1,0,0
DVM1Q2JD ,16,0,1,0,0
EP2RD8YA ,16,0,1,0,0
J38DIZFU ,16,0,1,0,0
NQCCIY4M ,16,0,1,0,0
P289LOQ6 ,16,0,1,0,0
P1OMD3E3 ,16,0,1,0,0
OYYMDDCG ,16,0,1,0,0
PCX86UXP ,16,0,1,0,0
QMYQLL24 ,16,0,1,0,0
REU1E22F ,16,0,1,0,0
RCKEFHKZ ,16,0,1,0,0
RH8R35YU ,16,0,1,0,0
SMIPFRO4 ,16,0,1,0,0
TS2KBI7A ,16,0,1,0,0
V6MD2861 ,16,0,1,0,0
X6NPJ91V ,16,0,1,0,0
XO1PCFI5 ,16,1,1,0,0
YA2PJNM1 ,16,0,1,0,0
YC32ESY6 ,16,0,1,0,0
YUDCMLYM ,16,0,1,0,0
2D4Z51I4 ,16,0,1,0,0
XGXR8JW5 ,16,0,1,0,0
QUGVX428 ,16,0,1,0,0
WD1RC84O ,16,0,1,0,0
MA7W717  ,15,0,1,0,1
24RKCVWV ,15,0,1,0,1
2M43YHFP ,15,0,1,0,1
4CR7GTDL ,15,0,1,0,1
4VOBK756 ,15,0,1,0,1
B9WY3J5R ,15,0,1,0,1
EV5PSYJF ,15,0,1,0,1
FX5GL9HT ,15,0,1,0,1
I9ORGIGL ,15,0,1,0,1
M3ANYBG8 ,15,0,1,0,1
OJOKQNMG ,15,0,1,0,1
SHSZU2IE ,15,0,1,0,1
WZ2C89I3 ,15,0,1,0,1
Z1CCLHGH ,15,0,1,0,1
E9DL54L  ,15,0,1,0,0
FB1OIAE  ,15,0,1,0,0
GTSS7EF  ,15,0,1,0,0
MQD4K48  ,15,0,1,0,0
Q96QPJB  ,15,0,1,0,0
12M6KH12 ,15,0,1,0,0
1GFRD2U6 ,15,0,1,0,0
1QBL5FCO ,15,0,1,0,0
1YNEQ2AW ,15,0,1,0,0
257O2GXI ,15,0,1,0,0
25SCSCK4 ,15,0,1,0,0
29Y8XBWV ,15,0,1,0,0
2R4P9SK6 ,15,0,1,0,0
2X4GXXF5 ,15,0,1,0,0
332U4CLV ,15,0,1,0,0
3HLCUWII ,15,0,1,0,0
3HPUH9X3 ,15,0,1,0,0
3JJ57MGZ ,15,0,1,0,0
3JSBBP7J ,15,0,1,0,0
3QKCNC8M ,15,0,1,0,0
43X19D1C ,15,0,1,0,0
46TEQ4T7 ,15,0,1,0,0
4AG2896F ,15,0,1,0,0
4L9MHZMI ,15,0,1,0,0
5MXHA4EX ,15,0,1,0,0
5N57MAL3 ,15,0,1,0,0
5OHKRTLY ,15,0,1,0,0
5P8JB2QZ ,15,0,1,0,0
