Seed,Score
AZSLDC,2598
C7XBGR,2611
CQS3E7,5603
O4ZR7C,3773
XFAM1O,2718
XN7BDH,3595
Y87SXI,3657
1C6M9A5,4604
1E5ESVL,2656
1HGJEKM,5635
1M5YY7E,2703
1MYWHL3,3569
1VUCH42,3597
1W3E53G,3814
1W5NAEX,3569
2AV37V1,3647
2B2A45R,2946
2BOFNIN,2758
2CV6JK1,2635
2DG2L1I,2779
2E1CYBS,2958
2FTMMFI,2742
2HOEO24,4610
2KSAVS6,2702
2UN8W1I,2706
2WH9D3F,3695
3BYWTZ9,2644
3DROO32,4568
3DUNXWC,4758
3E1BLCY,4693
3GTQD42,6655
3LCZJRQ,3569
3LL9IO5,2771
3LYDR7K,2772
3QKB92R,3676
3STFMQE,2750
3SUX3CB,2875
3WXCISP,2670
3YYZFEN,3019
4BJLS9S,2901
4EE2WWY,2664
4IN5WZF,3691
4JWJIXZ,2601
4KMU4QV,2779
4QLFMH7,2703
4VQBT7I,2714
5CBSVV8,2782
5DWPS2A,3071
5G5H6Y8,4773
5H1SZIG,2673
5MQJ6CR,2723
5P1TDYZ,4855
5SLN5U1,3741
5WUITHC,2659
5Y71CMW,2867
5YLBRL6,3674
6CGMELC,5620
6D7QFO4,2838
6EOTT2O,2765
6KN76PB,2792
6LB1NV5,3985
6NYIW4U,2732
6OSRPGM,4522
6Q2AB5K,2604
6WOHPMO,4547
7ATB8G3,2664
7BCKSNB,3535
7BKHH93,2689
7DLM8U3,5746
7GTJWYC,3427
7IFD8RF,2839
7MKHQ8N,2843
7N3WDYB,3637
7NYT2VJ,3691
7WYZTY6,3834
7X1OSMT,3652
7YVVBXV,3572
8BMHZGD,3720
8DMKVRO,3867
8EIUNLS,3642
8ON2JQ5,3652
8PVUGYQ,2782
8QLA4RY,3788
8R98994,2942
8RH98SV,2685
8RZ2HUZ,3670
8S9UQA2,3971
8T63ZYS,3467
8ZGIYLB,2809
8ZT8JQV,3843
9B7NZWF,2724
9B9L16I,2722
9CO8EXV,2636
9EH1LTQ,4814
9I3OY8V,2775
9J4ORT8,2649
9KJFOEK,4747
9KZSXOT,2718
9LBR8ZM,4568
9MJ2DBI,2768
9O9DK59,3608
9Q1GL89,2794
9U414XT,2641
9VDPQRE,2783
9VNWW7R,2653
17RCL5W,4695
18KQTWA,3844
27C3TRV,2630
33L1YYT,2864
36I8HBR,2759
41AOJ2N,2658
42EZ1W9,3640
42KTS29,4787
45B6W8T,4066
58R481F,2617
58SE93S,2736
62JUF3G,2648
62PG3MZ,3634
63HAWS4,2724
64SZA85,3614
