Seed,Score,Ectoplasm,Ankh,Blueprint,Brainstorm,The Soul,blank,Negative Tags,Negative Jokers
4MPLZPV,4,2,1,1,0,2,0,2,0
4MPTZI4,4,0,1,1,1,2,0,2,1
4MQFBJ6,5,1,3,1,1,2,0,2,1
4MRD7ZS,4,1,7,2,0,2,0,1,1
4MRZWTG,4,1,1,1,0,2,0,3,0
4MSDMXB,5,1,1,1,1,2,0,1,1
4MSRW2N,5,1,1,1,1,2,0,2,0
4MTCK56,4,2,1,3,0,2,0,1,0
4MVNA6K,5,4,7,3,2,2,0,1,0
4MZRQ1J,4,1,1,2,0,3,0,1,0
4N1CQB7,5,1,1,1,1,3,0,1,0
4N1OJS7,4,0,6,1,1,2,0,1,1
4N4TBSE,4,1,1,1,0,2,0,1,1
4N5MCFH,5,1,1,1,1,1,0,3,0
4N7USN6,3,0,1,2,0,2,0,2,0
4N8MVXI,4,1,2,2,0,3,0,1,0
4NAP4X7,5,1,1,2,1,2,0,1,1
4NGKGYX,4,0,1,1,1,2,0,1,0
4NG1PNJ,4,0,3,3,1,2,0,4,0
4NGHUMB,5,1,1,1,1,3,0,1,2
4NI1ZUD,5,2,2,4,2,2,0,2,1
4NLMP1M,4,0,4,1,1,2,0,3,0
4NLBLNR,4,2,1,1,0,2,0,1,2
4NOYJXX,5,2,1,1,1,2,0,2,0
4NPKC4X,4,1,1,1,0,3,0,1,2
4NQY8MG,4,0,1,1,1,3,0,0,0
4NWE4M2,4,1,2,1,0,2,0,1,2
4NZN85L,3,0,1,1,0,2,0,1,1
4O1R8PA,4,1,1,1,0,2,0,1,1
4O51UPY,5,1,1,2,2,1,0,0,1
4O5KURV,4,0,1,1,2,2,0,0,1
4O782CI,4,3,2,1,0,2,0,3,1
4O8APDG,5,1,1,2,1,2,0,2,1
4OAWPP7,3,0,4,1,0,3,0,0,0
4ODRJTY,3,0,2,2,0,2,0,1,2
4OJAD3H,5,6,2,2,1,2,0,2,1
4OQY1DQ,4,0,1,1,1,2,0,1,2
4OVC1F9,5,4,2,2,1,2,0,3,1
4P4F1AS,5,1,1,2,1,2,0,0,0
4P5UGPI,4,1,1,1,0,3,0,3,2
4P4H652,5,4,2,2,1,2,0,1,0
4PEGZKD,4,1,3,1,0,2,0,2,2
4PCMP1D,4,0,1,1,1,2,0,3,1
4PFV7PH,4,1,1,1,0,2,0,0,0
4PIRMPI,4,0,2,1,1,2,0,2,0
4PE1FEC,3,0,4,1,0,1,0,3,0
4PJAI4M,4,0,1,2,1,2,0,2,0
4PTJ4T1,4,1,1,1,0,2,0,0,1
4Q4RK6V,5,1,1,1,1,2,0,2,1
4Q3BT4Y,4,1,1,1,0,4,0,0,1
4Q79SCK,4,1,1,1,0,2,0,4,1
4Q7JW84,4,0,2,1,3,2,0,2,1
4QA43N8,4,1,1,1,0,3,0,3,1
4Q97V1H,5,1,1,1,1,3,0,0,0
4QFPDOY,4,0,1,1,1,3,0,0,2
4QAPTQ5,4,1,1,1,0,5,0,0,1
4QC7ALD,3,0,1,1,0,2,0,3,1
4QL7KDC,5,1,4,1,2,1,0,3,3
4QO4TQ5,5,1,1,1,1,2,0,1,0
4QK1POH,4,0,1,2,1,2,0,4,1
4QPWK4U,4,1,1,3,0,2,0,2,1
4QHS9MB,3,0,2,3,0,2,0,4,0
4QQLWQZ,4,1,1,1,0,1,0,0,0
4QN8U7S,4,0,1,1,1,2,0,1,1
4QW2HIA,4,3,1,1,0,1,0,8,0
4QXB35W,4,2,2,2,0,2,0,1,3
4QY8MSP,5,1,1,1,2,2,0,3,1
4R5W9IV,4,1,1,1,0,2,0,0,1
4R2DN7A,5,3,1,1,1,2,0,0,1
4R6CCD2,4,1,1,1,0,2,0,1,1
4RAYTKR,3,0,1,1,0,2,0,2,1
4R875JB,3,0,1,1,0,2,0,2,1
4R8UF9P,4,0,1,2,2,2,0,0,2
4RGBOU5,4,0,9,1,1,3,0,2,4
4RFFGEF,5,2,1,3,2,4,0,2,2
4RBWN9X,5,1,1,1,1,2,0,1,2
4RJ1WHZ,4,1,1,1,0,2,0,4,0
