Seed,Score,Perkeo,Canio,Triboulet,Yorick,Chicot,Blueprint,Brainstorm,NegSkipTags
BLVCMD4B,3,1,1,0,0,0,0,1,4
BLVCB9I6,3,1,0,0,0,0,1,1,4
BLVU6QUS,3,1,0,0,0,0,1,1,4
BLXA2FU6,3,1,0,0,0,0,1,1,4
BLX6QVKP,3,1,0,0,0,0,1,1,4
BLXBCMCY,3,1,1,0,0,0,0,1,5
BLYJHBJP,3,1,0,0,0,0,1,1,4
BLYKZWYX,3,1,0,1,0,0,1,0,4
BLXVRN8E,3,1,0,0,0,0,1,1,4
BLWK4B75,3,1,1,0,0,1,0,0,5
BLZL5C1X,3,1,0,0,0,0,1,1,4
BLZKHPMW,3,1,0,0,0,0,1,1,4
BM1BSA8A,3,1,0,0,0,0,1,1,4
BM1Z1MGI,3,1,0,0,0,0,1,1,4
BM3ZZVU6,3,1,0,0,0,0,1,1,4
BM3HWZ8K,3,1,0,0,1,0,0,1,4
BM2Z9SE7,3,1,0,0,0,0,1,1,4
BLZ9O5GA,3,1,0,0,0,0,1,1,4
BM35WC6F,3,1,0,0,0,1,1,0,4
BM4C4V56,3,1,0,0,0,0,1,1,4
BM3EDY3O,3,1,0,0,0,0,1,1,4
BM588E3I,3,1,0,1,0,0,1,0,4
BM4ZKLZ6,3,1,1,0,0,0,0,1,5
BM5IUFJ4,3,1,0,0,0,0,1,1,4
BM97TCQD,3,1,0,0,0,0,1,1,4
BM64L6UQ,3,1,0,0,0,0,1,1,4
BM7GAXG3,3,1,0,1,0,0,0,1,4
BM78SCRL,3,1,0,0,1,0,1,0,4
BM29D7VK,3,1,0,0,0,0,1,2,4
BMB61CQU,4,1,0,0,1,0,1,1,4
BM37WI6I,3,1,0,0,0,0,1,1,4
BM6WHBSQ,3,1,0,0,0,0,1,1,4
BM7E7HSX,3,1,0,0,0,0,1,1,4
BM9OKA6B,3,1,0,0,0,0,1,1,4
BMEABC1H,3,1,0,0,0,0,1,1,4
BMB61EAP,3,1,0,0,0,1,1,0,5
BM9QDJ3V,3,1,0,0,1,0,1,0,4
BMB7E9Z1,3,1,0,0,0,0,1,1,4
BMAEP2DK,3,1,0,0,0,0,1,1,4
BM4JXNCH,3,1,0,0,0,1,0,1,4
BMC9QLS8,3,1,0,0,0,0,1,1,4
BM953RSG,3,1,0,0,0,0,1,1,4
BM4ESKKJ,3,1,0,0,0,1,0,1,4
BMEZ6AEV,3,1,0,0,1,0,0,1,4
BMJK6XUD,3,1,0,0,0,0,1,1,4
BML6H1JG,3,1,0,0,0,0,1,1,4
BMD2DI5G,3,1,0,0,0,0,1,1,4
BMC967MS,3,1,0,0,0,0,1,2,4
BMH8FFL1,3,1,1,0,0,0,1,0,4
BMNN8UQM,3,1,0,0,0,0,1,1,4
BMGHEUN8,3,1,0,0,0,0,1,1,4
BME33JZT,3,1,0,0,0,0,1,1,4
BMFNJPLQ,3,1,0,0,0,0,1,1,4
BM942478,3,1,0,1,0,0,0,1,5
BMJVKKAL,3,1,0,0,0,0,1,1,4
BMRLDEX6,3,1,1,0,0,0,0,1,4
BMILWH1V,3,1,0,0,0,0,1,1,5
BMOIRYH1,3,1,0,0,0,0,1,1,4
BM82PQEI,3,1,0,0,0,0,1,1,4
BMLSLP3J,3,1,0,0,0,0,1,1,4
BMHYFBLM,3,1,0,0,0,1,1,0,4
BMHZT5ZP,3,1,0,0,0,0,1,1,4
BMTGN898,3,1,0,0,0,0,1,1,5
BMLJERW7,3,1,0,0,0,0,1,1,4
BMJ345K8,3,1,0,0,0,1,1,0,4
BMJ89QL3,3,1,0,1,0,0,1,0,4
BMP4V3G4,3,1,0,0,0,0,1,1,4
BMYKRSHK,3,1,0,0,0,0,1,1,4
BMDGVPBA,3,1,0,0,0,1,0,1,4
BMMQQ1H3,3,1,0,0,0,0,1,1,4
BMT2Y2GE,3,1,0,0,0,0,1,1,4
BMCHEG2T,3,1,0,0,0,0,1,1,4
BMQHB6C5,3,1,0,0,0,0,1,1,4
BN1ZB3Q2,3,1,0,0,0,0,1,1,4
BMRWXUVL,3,1,0,0,0,0,1,1,5
BMVM711O,3,1,0,0,0,1,1,0,4
BMWPCZB5,3,1,0,0,0,0,1,1,4
BMSOUC3V,3,1,0,0,0,1,1,0,4
BMS5FYPZ,3,1,1,0,0,0,1,0,4
BMQ25GBS,3,1,0,0,0,0,1,1,5
BMT7N5VE,3,1,0,0,0,0,1,1,4
BMEOI6GO,3,1,0,0,1,0,0,1,4
BMXS14X9,3,1,0,0,0,0,1,1,4
BN5L3MZT,3,1,0,0,0,0,1,1,4
BMEQXXOH,3,1,0,0,0,0,1,1,4
BMRWE637,3,1,0,0,0,1,0,1,4
BMUQBVDH,3,1,0,0,0,0,1,1,4
BN8NCC5F,3,1,0,0,1,0,1,0,4
BMVXTWF6,3,1,0,0,0,1,1,0,5
BMSX4LG7,3,1,1,0,0,0,1,0,4
BMWE2RVX,3,1,0,1,0,0,0,1,4
BMVVL81B,3,1,0,0,0,0,1,1,4
BMGLFU1V,3,1,0,0,0,0,1,1,4
BMGPO7OZ,3,1,0,0,0,0,1,1,4
BMKTAF86,3,1,0,0,0,0,1,1,4
BMGUR9XF,4,1,0,0,0,1,1,1,4
BN476172,3,1,0,0,0,0,1,1,4
BMSEBDRQ,3,1,0,0,1,0,0,1,4
BMZJOGIB,3,1,0,0,0,0,1,1,4
BMV9JNY3,3,1,0,0,0,0,1,1,4
BMZ4JD5X,3,1,0,0,0,0,1,1,4
BMF3WE19,3,1,0,0,0,0,1,1,4
BMW9PZI5,3,1,0,0,0,1,1,0,4
BMUUSYWR,3,1,0,0,0,0,1,1,4
BNCVQBID,3,1,0,0,1,0,0,1,4
BMWM1H3U,3,1,0,0,0,0,1,1,4
BNDRKEVN,3,1,0,1,0,0,0,1,4
BMW9YIN7,3,1,0,0,0,0,1,1,4
BNE6JLH6,3,1,0,0,0,1,1,0,4
BN5JCR5F,3,1,0,1,0,0,0,1,4
BNEEH367,3,1,0,0,0,0,1,1,4
BNFHFZCR,3,1,0,0,0,0,1,1,4
BMWMQQ7L,4,1,1,0,0,0,1,1,4
BNG49OOF,3,1,0,0,0,0,1,1,4
BNI9X55E,3,1,0,0,0,1,1,0,4
BN33YHSV,3,1,0,1,0,0,1,0,4
BN3JZ5OR,3,1,0,0,0,0,1,1,4
BNBSFQJ1,3,1,1,0,0,0,0,1,4
BN5HFUU5,3,1,0,0,0,0,1,1,4
BNLLUVVU,3,1,0,0,0,0,1,1,4
BNKRLBIB,3,1,0,0,0,0,1,1,4
BNBHM2Q1,3,1,1,0,0,0,0,1,4
BN6ZWZAV,3,1,1,0,0,0,0,1,4
BN55P556,3,1,0,0,0,0,1,1,4
BNAUW4PK,3,1,0,1,0,0,1,0,4
BN6M9FKV,3,1,0,0,1,0,0,1,4
BNB8MAFL,3,1,1,0,0,0,0,1,4
BNAY6B35,3,1,0,0,0,1,1,0,4
BNBB4GBW,3,1,0,0,1,0,1,0,4
BNC3CHSM,3,1,0,1,0,0,0,1,4
BNCTDJXZ,3,1,0,0,0,0,1,1,4
BNCGL12S,3,1,0,0,1,0,1,0,4
BNTJCIZQ,3,1,0,0,0,0,1,1,5
BN7AFNRQ,3,1,0,0,0,0,1,1,4
BNFR34C3,3,1,0,0,0,0,1,1,4
BNFZXH3J,3,1,0,0,1,0,0,1,4
BNV7P6J5,3,2,0,0,0,0,1,1,4
BNXPSHTV,3,1,0,0,0,0,1,1,4
BMPQ4WRV,3,1,0,0,0,0,1,1,4
BMQN5FJP,3,1,0,0,0,0,1,1,4
BNBGO7F5,3,1,0,0,0,0,1,1,4
BNC2H42D,3,1,1,0,1,0,0,0,4
BNMTNNJE,3,1,1,0,0,0,0,1,4
BND8ZF6F,3,1,0,0,0,1,0,1,4
BMY7WH8K,3,1,0,0,0,0,1,1,4
BNHV1EFG,3,1,0,1,0,0,1,0,4
BNNJ716C,3,1,0,0,1,0,1,0,4
BNHXF82X,3,1,0,0,0,0,1,1,4
BO45XTU6,3,1,0,0,0,0,1,1,4
BNQHQSAH,3,1,0,0,1,0,0,1,4
BNT7Q1E8,3,1,0,0,0,0,1,1,5
BNDTCBBL,3,1,0,0,0,1,1,0,4
BO6MDPTK,3,1,0,0,0,0,1,2,4
BNGHY9QV,3,1,0,1,0,0,1,0,4
BNWG1SWV,3,1,0,0,0,0,1,1,4
BO8U61GU,3,1,0,0,0,0,1,1,4
BNMW8ENC,3,1,1,0,0,0,0,1,4
BNM7CYRS,3,1,0,0,0,0,1,1,4
BNR4NLBE,3,1,0,0,0,1,1,0,4
BNPEJATX,3,1,0,0,0,1,1,0,4
BMWR4SDG,3,1,0,0,0,0,1,1,4
BNWSMDKZ,3,1,1,0,0,0,0,1,4
BNZ4I6CZ,3,1,0,0,0,0,1,1,4
BNPO7OCE,3,1,0,0,0,0,1,1,6
BNP3L8TH,3,1,1,0,0,0,1,0,4
BNXBU7TG,3,1,0,1,0,0,1,0,4
BNNZM9TI,3,1,0,0,0,0,1,1,4
BNM4ZPMH,3,1,0,0,0,0,1,1,5
BNTAKUMT,3,1,0,0,0,0,1,1,4
BMXFA7CM,3,1,0,0,0,0,1,1,4
BN5NFD59,3,1,0,0,0,0,1,1,4
BO4GYDMS,3,1,0,0,0,1,1,0,4
BN1JNZHB,3,1,0,0,0,0,1,1,4
BNTC2E3A,4,1,0,0,0,1,1,1,4
BO529PCG,3,1,0,0,0,0,1,1,4
BN6I3F4C,3,1,0,0,0,0,1,1,4
BO6Y1P53,3,1,0,0,0,1,0,1,4
BNSK7LH5,3,1,0,0,1,0,0,1,5
BO8XDSFN,3,1,0,0,0,0,1,1,4
BNWY1LPU,3,1,0,0,0,0,1,1,4
BNXY36SS,3,1,0,0,0,0,1,1,4
BO9N3OT4,3,2,0,0,0,1,1,0,4
BN8S34QF,3,1,0,0,1,0,1,0,5
BNSLJLVM,3,1,0,0,0,0,1,1,4
BNU7C2DY,3,1,0,0,0,0,1,1,4
BOPVYBK7,3,1,0,0,1,0,1,0,4
BNUWDE6O,3,1,0,0,0,1,1,0,5
BO2S7UBB,3,1,0,0,0,0,1,1,5
BNZS8KUX,3,1,0,1,0,0,1,0,4
BNPDHLUN,3,1,0,0,0,0,1,1,4
BO3O7CXQ,3,1,0,0,0,0,1,1,4
BOD6Z4G5,3,1,0,0,0,0,1,1,4
BOG2E7UV,3,1,0,0,0,0,1,1,4
BOSX965V,3,1,0,0,0,0,1,1,4
BOUJ98JK,3,1,0,0,1,0,0,1,4
BOCYUG9U,3,1,0,0,0,1,0,1,4
BNXIONGG,3,1,0,1,1,0,0,0,4
BO4P6DNX,3,1,0,0,0,0,1,1,4
BN6QJL4H,3,1,0,0,0,0,1,1,5
BOV6VPFO,3,1,0,0,0,0,1,1,4
BO5SBQJL,3,1,0,1,0,0,0,1,4
BO7U8RNK,3,1,1,0,0,0,0,1,4
BO72DAK9,3,1,0,0,1,0,2,0,4
BO6DOC3T,3,1,0,0,0,0,1,1,4
BNRO575D,3,1,0,0,0,0,2,1,4
BNW326BB,3,1,0,0,0,1,0,1,4
BOB8Z63B,3,1,0,0,0,0,1,1,4
BO8F5SAV,3,1,0,0,0,0,1,1,4
BO8669U3,3,1,0,0,0,0,1,1,4
BOZGGDOX,3,1,1,0,0,0,1,0,4
BO1TEXFN,3,1,0,0,0,0,1,1,4
BP46TH4I,3,1,0,0,0,0,1,1,4
BO3IDVWA,3,1,0,0,0,0,1,1,4
BN7I1FZX,3,1,0,0,0,1,1,0,4
BP3IAXG7,3,1,0,0,0,0,1,1,4
BP3QM9ZZ,3,1,0,0,0,0,1,1,4
BO24UIMI,3,1,0,0,0,0,1,1,4
BOD44FLC,3,1,0,0,0,1,1,0,4
BN9GIQRY,3,1,0,1,1,0,0,0,4
BOQUZUR6,3,1,1,0,0,0,0,1,4
BOTT12MR,3,1,1,0,0,0,1,0,4
BOU8ATTX,3,1,0,0,1,0,1,0,4
BOUAOFJK,3,1,0,0,0,0,1,1,4
BPB2SZGO,3,1,0,0,0,0,1,1,4
BO8573QG,3,1,0,0,0,0,1,1,4
BOLR6UVN,3,1,0,0,1,0,1,0,4
BNCEYHC1,3,1,0,0,0,0,1,1,4
BOS9X6BK,3,1,0,0,0,0,1,1,4
BOFU21KA,3,1,0,0,0,0,1,1,4
BO7FIG3Q,3,1,0,1,0,0,0,1,4
BOSYSO4V,3,1,0,0,0,0,1,1,4
BNDFDGFK,3,1,0,1,0,0,1,0,4
BOUKY7JX,3,1,0,0,0,0,1,1,4
BPG7VGR1,3,1,0,1,0,0,0,1,4
BPGHIELX,3,1,0,0,0,0,1,1,4
BODAD5YA,3,1,1,0,0,0,1,0,4
BOO9LCII,3,1,0,0,0,0,1,1,4
BOIR8PQJ,3,1,0,0,0,0,1,1,4
BO4XHKNK,3,1,0,1,0,0,0,1,4
BON7TRPP,3,1,0,0,0,0,1,1,4
BOKF8IET,3,1,0,0,0,0,1,1,4
BPJAM5QK,3,1,0,0,0,1,0,1,6
BPKHO2JJ,3,1,0,0,0,0,1,1,4
BPKQWVS3,3,1,0,0,0,0,1,1,4
BPMGX89C,3,1,0,0,0,0,1,1,4
BOD4WN4H,3,1,0,1,0,0,0,1,4
BOQGG9T6,3,1,0,0,0,0,1,1,4
BPNJ6XT9,3,1,0,0,0,0,1,1,4
BOF7U7EC,3,1,0,0,0,0,1,1,4
BOELH2N6,3,1,0,0,0,0,1,1,5
BOFTD3H4,3,1,0,0,0,0,1,1,4
BO8PNOOT,3,1,0,0,0,0,1,1,4
BOF69IDF,3,1,0,0,0,0,1,1,4
BPOX158P,3,1,0,0,0,0,1,1,4
BPQ9N2E3,3,1,0,0,0,0,1,1,4
BP5UY5GL,3,1,0,0,1,0,1,0,4
BPAFAIHT,3,1,0,0,0,0,1,1,4
BOW2LXMQ,3,1,0,0,0,0,1,1,4
BPSTFLYX,3,1,0,0,0,0,2,1,5
BOUU7KBU,3,1,0,0,0,0,1,1,4
BOZ2IOIY,3,1,0,0,0,0,1,1,4
BOLVM6X8,3,1,0,0,0,0,1,1,4
BOLDK2U1,3,1,0,0,0,0,2,1,4
BOJ6OL8O,3,1,0,0,0,1,1,0,4
BOO89SRQ,3,1,0,1,0,0,1,0,4
BOW54KQ2,3,1,0,0,0,0,1,1,4
BNKSZCUC,3,1,0,0,0,0,1,1,4
