Seed    ,Blueprint,Brainstorm,Oops,SpaceJoker,BurntJoker,DNA,Troubadour,TurtleBean,NegativeSkipTags
3RFNA5N ,4,0,0,2,0,0,0,0,4
3CZKPC6 ,4,2,0,2,0,0,0,0,3
RC2ZDIL ,4,2,0,4,0,0,0,2,3
ELCHL89 ,4,0,0,2,0,0,0,0,3
QKUV9KG ,4,0,0,2,0,0,0,0,3
W4TMKI5 ,4,0,0,2,0,0,0,0,3
UYGUYUH ,4,0,0,2,0,0,0,0,3
GCEAU6C ,2,4,2,2,0,0,0,0,3
O9AZSE2 ,6,0,0,2,0,2,0,0,2
2TN1FFU ,4,0,2,2,0,0,0,0,2
3R7V787 ,4,0,2,2,0,0,0,0,2
6HE4NS8 ,4,0,0,2,0,0,0,0,2
7S37811 ,4,0,0,4,0,2,2,0,2
BMQPNRH ,4,0,0,4,0,0,0,2,2
E5WHHNB ,4,0,0,2,0,0,0,0,2
DTFE24J ,4,0,0,2,0,0,0,0,2
DZOKQ1I ,4,0,2,2,0,0,2,0,2
IUVDPTG ,4,0,0,2,0,0,4,0,2
JS1REJ6 ,4,0,0,2,0,0,0,0,2
LWGLYQD ,4,0,0,2,0,0,0,0,2
MGRMEVF ,4,0,0,2,2,0,0,0,2
N2OV5WE ,4,0,0,2,0,0,0,0,2
Q3SQH53 ,4,0,0,2,0,0,0,2,2
TOIZRLD ,4,0,0,2,0,0,0,0,2
Y6RS24O ,4,0,0,2,2,0,0,0,2
EDO1TBZ ,2,4,0,2,2,0,0,6,2
UIR1JKQ ,2,4,0,4,2,0,0,0,2
8I8X66S ,2,2,2,2,0,0,0,0,2
IGN9BT4 ,2,2,2,2,0,0,0,0,2
9WDYP3E ,6,0,0,4,2,0,2,0,1
B6TU84N ,6,0,0,2,0,0,0,0,1
I3IXGKR ,6,0,0,2,2,0,0,0,1
MWG16MV ,6,0,2,2,0,0,0,0,1
FQNC927 ,4,2,2,2,0,0,0,0,1
K1ZTBTN ,4,2,2,2,2,0,0,0,1
O7IJRZO ,4,2,0,2,0,0,0,0,1
P2FGV2C ,4,2,0,2,0,0,0,0,1
12L3KMRH,4,2,0,2,0,0,0,0,1
T53SPE  ,4,0,0,2,2,0,0,2,1
11M9MBF ,4,0,0,4,0,0,0,0,1
2ZC1OYU ,4,0,0,2,0,0,0,0,1
38WI895 ,4,0,0,2,2,0,0,2,1
39TLIQ8 ,4,0,2,2,0,0,0,0,1
3Z7F4C3 ,4,0,0,2,0,0,2,0,1
4PKBU5Q ,4,0,2,2,0,0,2,0,1
4OCISQX ,4,0,0,2,0,0,4,0,1
54OLYCQ ,4,0,0,4,2,0,0,0,1
6DK2343 ,4,0,0,2,0,0,0,0,1
6U75Z4B ,4,0,0,2,4,0,0,2,1
7RMXUGJ ,4,0,0,2,0,0,0,0,1
7XGOHPK ,4,0,0,6,0,0,0,2,1
7ZLHV5L ,4,0,0,2,0,0,0,0,1
BPOTHD2 ,4,0,0,2,0,0,0,0,1
CMOL5Q4 ,4,0,0,2,0,0,2,2,1
CPKARL2 ,4,0,0,2,0,0,2,0,1
H8R8HBU ,4,0,0,2,0,0,0,0,1
FT9B39Z ,4,0,0,2,2,0,0,0,1
