Seed,Score,Blurprint,Brainstorm,Burnt_Joker,Space_Joker,Oops_All_6s,DNA,NegativeTags,NegativeJokers
115HNBL ,1,1,0,0,0,0,0,1,2
11HSH2S ,2,1,0,0,0,0,1,0,0
11I1ZLO ,1,1,0,0,0,0,0,0,0
11REZG1 ,2,1,0,0,1,0,0,0,0
11TZJGS ,3,1,1,0,1,0,0,0,0
11W1MVV ,1,1,0,0,0,0,0,1,0
11YCM79 ,2,1,0,0,0,0,1,0,1
1219KZC ,2,1,0,0,0,1,0,1,0
122Z1J3 ,2,1,1,0,0,0,0,2,0
125I4M3 ,1,1,0,0,0,0,0,1,0
1288DQT ,2,1,0,1,0,0,0,0,1
129BN3J ,1,1,0,0,0,0,0,2,0
129JP8G ,4,1,0,2,0,1,1,1,0
12A8JAB ,2,1,0,0,1,0,0,0,0
12IPYTP ,2,1,0,1,0,0,0,0,0
12L2NXQ ,1,1,0,0,0,0,0,0,0
12LW8M2 ,1,1,0,0,0,0,0,1,0
12MLC6Q ,4,1,0,1,0,1,1,1,0
12PP6Z6 ,3,1,0,1,1,0,0,2,1
12VY77  ,1,1,0,0,0,0,0,1,0
12WVN   ,1,1,0,0,0,0,0,0,0
12ZDPOX ,1,1,0,0,0,0,0,0,0
12ZUT1J ,1,1,0,0,0,0,0,0,0
131YJTC ,3,1,0,0,1,1,0,1,0
1326EEZ ,2,1,0,0,0,1,0,1,0
133Y8G  ,1,1,0,0,0,0,0,1,0
136S3XP ,2,1,0,0,0,0,1,1,0
13HWUQK ,2,1,1,0,0,0,0,2,1
13S2FXH ,2,1,1,0,0,0,0,1,0
13TTYL9 ,3,1,1,0,0,0,1,1,0
13YWPRI ,2,1,0,0,0,1,0,0,0
13ZA94J ,1,1,0,0,0,0,0,1,0
145KT2M ,2,1,0,0,0,1,0,0,0
1471W85 ,2,1,1,0,0,0,0,1,0
14DQGQM ,1,1,0,0,0,0,0,0,2
14E4X3A ,1,1,0,0,0,0,0,2,0
14GWZGD ,1,1,0,0,0,0,0,0,0
14O5LRE ,1,3,0,0,0,0,0,1,0
14RK4H4 ,2,1,0,1,0,0,0,3,0
14SEQQ  ,2,3,0,0,1,0,0,1,0
14WLXR4 ,3,1,0,0,1,1,0,1,0
14X43H5 ,2,2,0,0,1,0,0,0,0
14ZCJJJ ,1,1,0,0,0,0,0,0,1
14ZFVBH ,2,1,0,0,0,1,0,1,0
1539XQS ,1,1,0,0,0,0,0,0,0
15426XD ,2,1,0,1,0,0,0,1,0
159N4SU ,2,1,0,0,0,0,1,2,0
15C3HJC ,3,1,0,1,1,0,0,1,0
15ELX8P ,1,1,0,0,0,0,0,0,0
15EU7LF ,1,1,0,0,0,0,0,1,0
15IBNA3 ,1,1,0,0,0,0,0,0,0
15IUN8I ,1,1,0,0,0,0,0,1,0
15NEZMK ,2,1,0,1,0,0,0,0,0
15NZG13 ,2,1,1,0,0,0,0,0,0
15Q9IA1 ,2,1,0,0,0,1,0,0,0
15R3XGQ ,1,1,0,0,0,0,0,0,0
15T115B ,3,1,0,0,0,1,1,0,0
15T4CX4 ,2,1,0,0,0,1,0,1,0
15TE4HT ,1,1,0,0,0,0,0,1,0
15TOB6U ,1,1,0,0,0,0,0,1,0
15UFRND ,1,1,0,0,0,0,0,0,1
16G9PGE ,2,1,0,0,1,0,0,0,0
16GN1D1 ,2,1,0,0,1,0,0,0,0
16JYHQ1 ,1,1,0,0,0,0,0,1,0
16LB9HK ,1,1,0,0,0,0,0,1,0
16S3X2H ,2,1,0,0,0,1,0,0,0
16TW6XI ,1,1,0,0,0,0,0,1,0
16VOCSU ,3,1,0,1,1,0,0,1,1
179KAKW ,1,1,0,0,0,0,0,1,0
17A6AO  ,2,1,0,0,1,0,0,2,0
17DQDWW ,4,1,0,0,1,1,1,0,1
17DYGKG ,1,1,0,0,0,0,0,1,0
17E3B3  ,2,1,0,1,0,0,0,1,0
17EE6JP ,2,1,0,0,0,1,0,0,0
17INZYU ,1,1,0,0,0,0,0,2,0
17L3NX5 ,1,1,0,0,0,0,0,1,1
17PCYWA ,2,1,0,0,1,0,0,0,0
17VJMNR ,1,1,0,0,0,0,0,0,0
187JVMI ,3,1,0,0,0,1,1,3,1
18B413I ,1,1,0,0,0,0,0,0,1
18B5YGW ,1,1,0,0,0,0,0,1,0
18B9CKB ,2,1,0,0,0,1,0,1,0
18BFSC5 ,1,1,0,0,0,0,0,0,0
18DBUQD ,3,1,0,0,1,1,0,1,1
18DUZGY ,1,1,0,0,0,0,0,0,0
18LZ6VM ,4,1,1,1,1,0,0,2,0
18NKQZM ,2,1,0,0,0,1,0,0,0
18VXNLA ,2,1,0,0,1,0,0,2,0
18WUD6S ,4,1,0,1,0,1,1,0,0
18XP5UN ,2,1,1,0,0,0,0,1,0
194VM89 ,1,1,0,0,0,0,0,1,0
19KK61  ,3,1,1,0,0,1,0,2,0
19MY1SQ ,1,1,0,0,0,0,0,2,0
19NWQDH ,2,1,0,1,0,0,0,0,0
19PFWDU ,2,1,0,0,1,0,0,1,0
19RMWGM ,2,1,0,0,1,0,0,0,0
19V1YWG ,1,1,0,0,0,0,0,0,0
1A4BBYS ,3,1,0,1,0,0,1,1,1
1A8ST2  ,2,1,0,0,1,0,0,2,0
1AE12ZB ,1,1,0,0,0,0,0,0,0
1AEUVYC ,2,1,0,0,0,1,0,0,0
1AIBRA7 ,2,1,1,0,0,0,0,2,0
1AK3ZVY ,2,1,0,1,0,0,0,3,0
1AMZNNA ,2,1,0,1,0,0,0,0,0
1AQHFRT ,1,1,0,0,0,0,0,1,1
1AUCQXM ,3,1,0,0,1,1,0,0,0
1AZDMSR ,1,1,0,0,0,0,0,0,0
1B1BBOJ ,2,1,0,1,0,0,0,0,0
1B3HI7D ,1,1,0,0,0,0,0,1,0
1BC6SP7 ,2,1,0,1,0,0,0,1,0
1BGXEN3 ,2,1,1,0,0,0,0,2,0
1BIAESU ,1,1,0,0,0,0,0,0,0
1BO1BVP ,2,1,0,0,0,1,0,0,0
1BO2SYY ,1,1,0,0,0,0,0,0,0
1BPNPL9 ,2,1,0,0,0,1,0,1,0
1BU9TAJ ,1,1,0,0,0,0,0,2,1
1BXT699 ,2,1,0,0,1,0,0,1,0
1BXWSK1 ,1,1,0,0,0,0,0,1,0
1BYPY54 ,2,1,0,0,0,0,1,0,0
1C2MEW6 ,1,1,0,0,0,0,0,0,0
1C8DQXE ,2,1,0,0,1,0,0,0,0
1CA3AS3 ,1,1,0,0,0,0,0,1,0
1CDUCGK ,1,1,0,0,0,0,0,0,0
1CEE285 ,1,1,0,0,0,0,0,0,0
1CEY49Y ,1,1,0,0,0,0,0,0,0
1CFYOHP ,2,1,0,0,0,1,0,2,0
1CO1IPW ,2,1,0,0,0,1,0,2,0
1CZ8Y42 ,1,1,0,0,0,0,0,0,0
1D6U6Z  ,2,1,1,0,0,0,0,1,0
1DBMZKZ ,1,1,0,0,0,0,0,1,0
1DDQ3SO ,3,1,1,0,1,0,0,1,0
1DE95JL ,1,1,0,0,0,0,0,0,0
1DFU6GZ ,2,1,0,0,0,0,1,1,0
1DHL9H  ,1,1,0,0,0,0,0,0,0
1DHPQK7 ,1,1,0,0,0,0,0,0,0
1DHYQPO ,1,1,0,0,0,0,0,2,0
1DS3BDE ,2,1,0,1,0,0,0,1,0
1DTW5J3 ,1,1,0,0,0,0,0,0,1
1DWXEY4 ,2,1,0,0,0,1,0,1,0
1DYNJOF ,1,1,0,0,0,0,0,0,0
1DZ5MI  ,2,1,0,0,0,0,1,1,0
1E44931 ,1,1,0,0,0,0,0,0,0
1E4BVMQ ,2,1,0,1,0,0,0,2,0
1EF638S ,1,1,0,0,0,0,0,0,0
1ENP6L  ,1,1,0,0,0,0,0,2,0
1ERK7VB ,4,1,1,1,1,0,0,2,0
1EWUTSK ,2,2,0,0,0,1,0,0,0
1EXP4FU ,3,1,0,0,1,1,0,2,0
1F9KQP8 ,1,1,0,0,0,0,0,0,0
1F9P79  ,2,1,1,0,0,0,0,0,0
1FA98FI ,2,1,1,0,0,0,0,0,0
1FC6QYJ ,1,1,0,0,0,0,0,0,1
1FEBI36 ,2,1,0,0,0,0,1,0,1
1FFVXOC ,1,1,0,0,0,0,0,1,0
1FJ5KA5 ,3,1,0,1,1,0,0,0,0
1FJMLTQ ,2,1,0,0,1,0,0,0,0
1FR9CCD ,1,1,0,0,0,0,0,0,0
1FTV3TH ,1,1,0,0,0,0,0,1,0
1FXGQBQ ,2,1,0,0,1,0,0,1,1
1G5ZVP2 ,1,1,0,0,0,0,0,1,0
1G6R3ZK ,2,1,1,0,0,0,0,0,0
1GAU71K ,1,1,0,0,0,0,0,3,1
1GAWTOF ,2,1,0,0,1,0,0,2,0
1GHWXQU ,1,1,0,0,0,0,0,0,0
1GKHSHN ,3,1,0,0,1,1,0,3,0
1GNSHYD ,1,1,0,0,0,0,0,1,0
1GYB311 ,1,1,0,0,0,0,0,0,0
1GZJGX  ,3,1,0,1,0,0,1,0,0
1H756IG ,3,1,0,0,0,1,1,0,0
1HIW9JF ,1,1,0,0,0,0,0,0,0
1HJAEQ  ,2,1,1,0,0,0,0,1,0
1HMIYGT ,1,1,0,0,0,0,0,0,1
1HNIWC  ,1,1,0,0,0,0,0,0,0
1HZFKFA ,1,1,0,0,0,0,0,1,0
1I3F9RD ,2,1,0,0,0,1,0,0,0
1II4SR5 ,2,1,0,0,0,1,0,3,0
1ILA84M ,1,1,0,0,0,0,0,0,0
1J358JS ,3,1,0,0,1,0,1,0,0
1J5V2N1 ,2,1,1,0,0,0,0,2,0
1JNA6D  ,2,1,0,0,1,0,0,1,0
1JW5HQ  ,4,1,0,0,1,1,1,0,0
1JWXN8T ,3,1,0,0,1,0,1,0,0
1K1AIXI ,2,1,1,0,0,0,0,2,0
1KC2OA7 ,1,1,0,0,0,0,0,0,0
1KKRSTP ,2,1,0,1,0,0,0,1,0
1KNB4WR ,4,1,0,0,1,1,1,1,0
1LJTM1N ,3,1,0,0,1,1,0,0,0
1LM7E4W ,2,1,1,0,0,0,0,1,0
1LNEVDQ ,3,1,0,1,0,1,0,1,0
1LS3KH7 ,1,1,0,0,0,0,0,1,0
1LVERJ5 ,2,1,1,0,0,0,0,1,0
1MUUYNG ,3,1,0,1,1,0,0,2,0
1MXQ8KR ,2,1,1,0,0,0,0,1,0
1NCV7G7 ,4,1,1,2,3,0,0,1,0
1NJFH5  ,2,1,0,0,0,1,0,2,0
1NSBVCT ,3,1,0,1,0,0,1,0,0
1NWKRO  ,2,1,0,0,0,1,0,0,0
1OFJP2N ,3,1,0,0,1,1,0,0,0
1OGR9WC ,1,1,0,0,0,0,0,1,0
1OIOQYL ,1,1,0,0,0,0,0,1,0
1OTO31D ,3,1,0,0,0,1,1,1,0
1P52RFM ,1,1,0,0,0,0,0,0,0
1PLPRY8 ,1,1,0,0,0,0,0,0,0
1Q13SXY ,3,1,1,0,0,1,0,1,0
1QXMVHV ,2,1,0,0,0,0,1,0,0
1R4HBW  ,1,1,0,0,0,0,0,2,0
1R5U4YR ,2,1,1,0,0,0,0,1,1
1RAFTF6 ,1,1,0,0,0,0,0,1,0
1RO7CHF ,4,2,1,0,0,1,1,0,0
1RUDYX  ,1,1,0,0,0,0,0,1,0
1RXLMF9 ,3,1,0,1,0,1,0,1,0
1RZ7ZLZ ,2,1,1,0,0,0,0,0,1
1S31FE  ,3,1,0,1,0,1,0,0,0
1SARAG2 ,3,1,0,1,0,1,0,2,0
1SHW7JP ,2,1,1,0,0,0,0,1,0
1SN5D4Z ,2,1,0,0,0,1,0,0,0
1SO8AN9 ,1,1,0,0,0,0,0,0,0
1SYQRYK ,2,1,1,0,0,0,0,0,0
1TFFNND ,1,1,0,0,0,0,0,2,0
1UAA695 ,3,1,1,0,0,1,0,1,0
1UGS7ZN ,3,1,1,0,0,1,0,1,0
1VTDD3  ,2,1,0,0,1,0,0,0,0
1VVEJX  ,3,1,0,0,0,1,1,2,0
1WMG92  ,3,1,0,1,0,1,0,0,1
1WP96Y1 ,3,1,0,0,1,0,1,2,0
1WZ7QC  ,2,1,0,0,0,1,0,1,0
1X4D6UH ,3,1,1,0,1,0,0,1,0
1ZWC3H3 ,2,1,1,0,0,0,0,0,0
1ZXPUH7 ,3,1,1,0,1,0,0,1,0
1ZYTXP  ,2,1,0,0,0,0,1,1,0
1ZZXCQU ,2,1,0,1,0,0,0,1,0
21XD25A ,1,1,0,0,0,0,0,1,0
21XRO11 ,2,1,0,1,0,0,0,1,0
22EARRL ,4,1,1,1,0,1,0,3,0
234R4Y  ,1,1,0,0,0,0,0,0,0
237JSI3 ,3,1,0,0,0,1,1,1,0
23R9SJA ,3,1,0,0,1,1,0,3,0
23SQGR  ,2,1,1,0,0,0,0,1,0
