Seed,Score,Perkeo,Canio,Lucky_Cat,Oops_All_6s,BP+BS, Blueprint,Brainstorm,Cartomancer,NegativeSkipTags
A16KCY2O,2,0,0,1,0,1,1,0,0,1
A16LHHUB,2,0,0,0,1,1,1,0,0,2
A16N122G,2,0,0,0,1,1,1,0,0,2
A16P63YA,2,0,0,0,0,1,1,0,1,1
A16UFWNG,2,0,0,0,0,1,1,0,1,1
A16TWO91,2,0,1,0,0,1,1,0,0,2
A16W5L69,2,0,0,0,0,1,1,0,1,1
A16Z4CQQ,2,0,0,0,1,1,1,0,0,1
A16Z61W3,2,0,0,0,0,1,1,0,1,1
A16ZO9DO,2,0,0,0,0,1,1,0,1,1
A172N3I6,2,0,0,0,1,1,1,0,0,1
A176NMJQ,2,0,0,1,0,1,1,0,0,1
A1749OX1,2,0,0,0,0,1,1,0,1,1
A177QVRO,2,0,0,0,0,1,1,0,1,2
A178SOU8,2,0,0,0,0,1,1,0,1,1
A17DAY4H,2,0,0,0,0,2,1,1,0,2
A17B97ZY,2,0,1,0,0,1,1,0,0,1
A17C1UQY,2,0,1,0,0,1,1,0,0,2
A17I19KD,2,0,0,0,0,2,1,1,0,1
A17J92U6,2,0,1,0,0,1,1,0,0,1
A17H5P34,2,0,0,0,0,1,1,0,1,1
A17JI1W5,2,0,0,0,0,1,1,0,1,1
A17RJAIN,2,0,0,0,0,1,1,0,1,2
A17WKAD4,2,0,0,0,1,1,1,0,0,4
A17RNYRH,2,0,1,0,0,1,1,0,0,1
A182BV61,2,0,0,0,1,1,1,0,0,2
A184SUFN,2,0,0,0,0,1,1,0,1,1
A17U68YC,2,0,0,0,0,2,1,1,0,1
A18H4YSD,2,0,0,1,0,1,1,0,0,3
A182JHIL,3,0,0,0,1,1,1,0,1,1
A17ZTNEU,2,0,0,0,1,1,1,0,0,1
A19XIZ17,3,1,0,0,1,1,1,0,0,3
A18JJ318,2,0,0,0,0,1,1,0,1,1
A18379U8,2,0,0,0,0,1,1,0,2,1
A18FF8SD,2,0,0,0,0,1,1,0,1,1
A18FRGTQ,2,0,0,0,0,1,1,0,1,2
A182YTTZ,2,0,0,0,0,1,1,0,1,1
A18D19EI,2,0,0,0,0,2,1,1,0,2
A18IY7L2,3,0,0,0,1,2,1,1,0,3
A18LETP9,2,0,0,0,1,1,1,0,0,1
A18DI4PY,2,0,0,1,0,1,1,0,0,1
A18HKCEK,2,0,0,0,1,1,1,0,0,1
A18LA58D,2,0,0,0,1,1,1,0,0,1
A18KNSJI,2,0,0,0,1,1,1,0,0,1
A18R9HY8,2,0,0,0,0,1,1,0,1,1
A18OAQGW,2,0,0,0,0,1,1,0,1,2
A194ZWOF,2,0,0,0,0,2,1,1,0,2
A18S8C8C,2,0,0,1,0,1,1,0,0,1
A196BR44,2,0,0,0,0,1,1,0,1,2
A19T68Z6,2,0,0,0,0,1,1,0,1,2
A198JNSX,2,0,0,0,0,2,1,1,0,1
A18W7AME,2,0,0,0,0,1,1,0,1,2
A18TVATI,2,0,0,0,0,2,1,1,0,1
A1936LLW,2,0,0,0,0,1,1,0,1,1
A1933M3U,2,0,0,0,0,1,1,0,1,1
A19AXTKX,2,0,1,0,0,1,1,0,0,2
A192Y539,2,0,1,0,0,1,1,0,0,1
A196YL47,2,0,0,0,1,1,1,0,0,1
A194P2MY,2,0,0,0,1,1,1,0,0,1
A1936T73,2,0,0,0,0,1,1,0,1,2
A18YLCON,2,0,0,0,1,1,1,0,0,2
A19IEZD6,2,0,0,0,0,2,1,1,0,2
A19DZQY9,2,0,0,0,0,1,1,0,1,1
A194QTO7,2,0,1,0,0,1,1,0,0,3
A19TUH6Z,2,0,0,0,1,1,1,0,0,1
A19C51HM,2,0,0,1,0,1,1,0,0,1
A19P42PN,2,0,0,0,1,1,1,0,0,1
A19W88U9,2,0,0,0,0,1,1,0,1,1
A1A3UKGT,2,0,0,0,0,2,1,1,0,1
A1A7RYU3,2,0,0,0,1,1,1,0,0,1
A19FDB6R,2,0,0,0,0,1,1,0,1,1
A19X25LI,2,0,0,0,1,1,1,0,0,2
A1A6UTD7,2,0,0,0,1,1,1,0,0,1
A192LSDK,2,0,0,0,0,2,1,1,0,1
A1JNH3MU,2,1,0,0,0,1,1,0,0,3
A1GXIZU1,4,1,0,0,0,2,1,1,1,2
A1AJSA6P,2,0,0,0,0,2,1,1,0,1
A1A7B62T,2,0,0,0,1,1,1,0,0,1
A19Z8RHQ,2,0,0,0,0,1,1,0,1,2
A189BBPG,2,1,0,0,0,1,1,0,0,2
A19WB4GR,2,0,0,0,0,1,1,0,1,1
A1AGZP76,2,0,0,0,0,2,1,1,0,3
A1APWGOE,2,0,0,0,1,1,1,0,0,1
A1A57Z5Q,2,0,0,0,0,1,1,0,1,3
A1AJHS4E,2,0,0,0,1,1,1,0,0,1
A1ARTRLV,2,0,0,0,1,1,1,0,0,1
A1AASMSK,2,0,0,0,1,1,1,0,0,1
A1B4MDRA,2,0,0,0,0,2,1,1,0,1
A1AWW23L,2,0,0,0,0,1,1,0,1,2
A1ALU7Q2,2,0,0,0,0,1,1,0,1,1
A1BA875L,2,0,0,0,1,1,1,0,0,1
A1ALHUTK,2,0,0,0,0,2,1,1,0,2
A1AEJTC1,3,0,1,0,1,1,1,0,0,2
A1BJDW21,2,0,0,0,0,1,1,0,1,1
A1APRYE6,2,0,0,0,1,1,1,0,0,1
A1A7IVFX,2,0,1,0,0,1,1,0,0,1
A1AY3CHE,2,0,0,0,0,2,1,1,0,1
A1BH7MWB,2,0,0,0,1,1,1,0,0,2
A1BLS6DV,2,0,0,0,0,2,1,1,0,1
A1GDIVOW,3,1,0,0,0,1,1,0,1,2
A1BHDL61,2,0,0,0,0,2,1,1,0,3
A1ASMALR,2,0,1,0,0,1,1,0,0,1
A1BC6PZP,2,0,0,0,0,2,1,1,0,1
A1I3YNZT,2,1,0,0,0,1,1,0,0,2
A1BTZG3Z,2,0,0,0,1,1,1,0,0,2
A1BBS5GF,2,0,0,0,1,1,1,0,0,2
A1B29X5I,2,0,0,0,0,2,1,1,0,2
A1BSDYEF,2,0,0,0,1,1,1,0,0,2
A1BQC5CD,3,0,1,0,1,1,1,0,0,1
A1C7M755,2,0,0,0,0,1,1,0,1,1
A1ASYB2M,2,0,0,0,1,1,1,0,0,1
A1C5E424,2,0,0,0,1,1,1,0,0,1
A1BIIEOV,2,0,0,0,1,1,1,0,0,2
A1CPISWK,2,0,0,0,0,1,1,0,1,1
A1CTVTFP,2,0,0,0,0,1,1,0,1,1
A1BZOA3I,2,0,0,0,1,1,1,0,0,1
A1BVFQ79,2,0,0,0,0,1,1,0,1,3
A1BR64WI,2,0,1,0,0,1,1,0,0,2
A1BRMQNU,3,0,0,0,1,1,1,0,1,1
A1CH3UKA,2,0,0,1,0,1,1,0,0,2
A1CELLLJ,2,0,0,1,0,1,1,0,0,2
A1B77O44,2,0,0,0,0,1,1,0,1,1
A1E5EKB6,2,0,0,0,1,1,1,0,0,2
A1CL1J53,2,0,0,0,0,1,1,0,1,1
A1CEDZT4,2,0,0,0,0,1,1,0,1,1
A1B9K63X,2,0,0,0,0,1,1,0,1,1
A1BFJKFZ,2,0,0,0,0,2,1,1,0,1
A1CDGYHX,2,0,0,1,0,1,1,0,0,1
A1CELT4J,2,0,0,0,0,2,1,1,0,1
A1BVEAX8,2,0,0,0,0,2,1,1,0,1
A1C6QMGT,2,0,0,0,0,2,1,1,0,1
A1D2A3NW,2,0,0,0,0,2,1,1,0,2
A1C687XZ,2,0,0,0,0,1,1,0,1,1
A1CF246Y,2,0,0,0,0,1,1,0,1,1
A1DEJHE8,2,0,0,0,0,1,1,0,1,1
A1D95173,2,0,0,0,0,2,1,1,0,1
A1DGIG11,2,0,0,0,0,1,1,0,1,2
A1D9KG5P,2,0,0,0,0,1,1,0,1,1
A1BR1ERL,2,0,0,0,0,2,1,1,0,1
A1CKDGEK,2,0,0,0,0,1,1,0,1,2
A1D342VH,2,0,0,0,0,1,1,0,1,1
A1DOX9YN,2,0,0,0,0,1,1,0,1,2
A1E1FI1W,2,0,0,0,0,1,1,0,1,1
A1D5RGBW,2,0,0,0,0,2,1,1,0,4
A1HKI2Z6,2,1,0,0,0,1,1,0,0,2
A1DW76HV,2,0,0,0,0,2,1,1,0,1
A1CWOIYR,2,0,0,0,0,1,1,0,1,1
A1E2INEA,2,0,0,0,0,1,1,0,1,2
A1EM9MUC,2,0,0,0,0,1,1,0,1,1
A1CHJ536,2,0,0,0,0,1,1,0,1,1
A1DZZ2S7,2,0,0,0,0,2,1,1,0,1
A1E5KGDZ,2,0,0,0,1,1,1,0,0,1
A1E1N1I9,2,0,0,1,0,1,1,0,0,1
A1D5RH9M,2,0,1,0,0,1,1,0,0,1
A1CJU89I,2,0,0,0,0,2,1,1,0,1
A1BZR3AO,2,0,0,0,0,1,1,0,1,1
A1DFXMOK,2,0,0,0,1,1,1,0,0,2
A1DL5G1K,2,0,0,0,1,1,1,0,0,2
A1CZHG6U,2,0,0,0,0,2,1,1,0,1
A1DDEW6C,2,0,0,1,0,1,1,0,0,1
A1F1MA37,2,0,0,0,0,2,1,1,0,2
A1F3L8BF,2,0,0,0,0,1,1,0,1,1
A1E5P5GM,2,0,0,0,0,1,1,0,1,1
A1CP59PV,2,0,0,0,0,1,1,0,1,1
A1EENMGY,2,0,0,0,0,1,1,0,1,1
A1DS3FPB,2,0,0,0,0,1,1,0,1,1
A1DNDHEE,2,0,0,0,0,1,1,0,1,3
A1F3AF6B,2,0,0,1,0,1,1,0,0,1
A1DORE2A,3,0,0,0,1,1,1,0,1,2
A1DVM6WD,2,0,0,0,1,1,1,0,0,1
A1DV5G83,2,0,0,0,0,1,1,0,1,1
A1DPF77L,2,0,0,0,0,1,1,0,1,1
A1DCVGSX,2,0,0,0,0,2,1,1,0,1
A1FG3DWG,2,0,0,0,1,1,1,0,0,1
A1DTZPVI,2,0,0,0,0,1,1,0,1,1
A1FFRIQL,2,0,0,0,0,2,1,1,0,1
A1FI9LW4,2,0,0,0,0,1,1,0,1,1
A1EMWAFL,2,0,0,1,0,1,1,0,0,2
A1DLSFJM,3,0,1,0,0,1,1,0,1,1
A1EWOVMB,3,0,0,0,0,2,1,1,1,2
A1E8GEQG,2,0,0,0,0,1,1,0,1,1
A1DYF8NS,2,0,0,0,1,1,1,0,0,4
A1F1SJF7,2,0,0,0,0,2,1,1,0,1
A1F8KC7G,2,0,0,0,0,1,1,0,1,1
A1EO21VW,2,0,0,0,1,1,1,0,0,1
A1FAYCIL,3,0,0,1,0,2,1,1,0,1
A1DXHWIC,2,0,0,0,1,1,1,0,0,2
A1DMEPFF,2,0,0,0,0,1,1,0,1,1
A1DT841G,2,0,0,0,1,1,1,0,0,2
A1EM9HVW,2,0,0,0,1,1,1,0,0,1
A1F4UKN8,2,0,0,1,0,1,1,0,0,1
A1EMZBPN,2,0,0,0,1,1,1,0,0,2
A1FAWYY2,2,0,0,0,0,2,1,1,0,1
A1FHY1JV,2,0,1,0,0,1,1,0,0,1
A1FRWGWI,2,0,1,0,0,1,1,0,0,2
A1EOBC4Z,2,0,0,0,1,1,1,0,0,1
A1ENFLXB,2,0,0,0,0,1,1,0,1,3
A1EWK4SL,3,0,0,0,0,2,1,1,1,1
A1EVZIHB,2,0,1,0,0,1,1,0,0,1
A1FKX171,2,0,0,0,0,1,1,0,1,1
A1E85N7R,2,0,0,0,0,2,1,1,0,1
A1EIVXRA,2,0,0,0,1,1,1,0,0,1
A1GBRWKQ,2,0,0,0,0,1,1,0,1,1
A1ELT99A,2,0,0,0,0,2,1,1,0,2
A1FZCCSQ,2,0,0,0,0,2,1,1,0,2
A1FJIXBZ,2,0,0,0,1,1,1,0,0,1
A1GZPH4D,2,0,0,0,1,1,1,0,0,2
A1FI3MCE,2,0,0,1,0,1,1,0,0,1
A1F61RZ9,2,0,0,0,0,1,1,0,1,1
A1EHD6K9,2,0,0,0,1,1,1,0,0,1
A1G68RF3,2,0,0,0,0,1,1,0,1,1
A1FF4RHX,2,1,0,0,0,1,1,0,0,2
A1FNPP9K,2,0,0,0,0,2,1,1,0,1
A1FK8MSX,2,0,0,0,0,1,1,0,1,2
A1F2UASW,2,0,0,0,0,2,1,1,0,2
A1GCIVPH,2,0,0,0,1,1,1,0,0,1
A1GUZG2D,2,0,0,0,0,1,1,0,1,1
A1FXDHZ8,2,0,0,0,0,1,1,0,1,1
A1FPQ9K4,2,0,0,0,0,1,1,0,1,1
A1GPDCWM,2,0,0,0,1,1,1,0,0,1
A1G3LZGH,2,1,0,0,0,1,1,0,0,2
A1H1EZD1,2,0,1,0,0,1,1,0,0,1
A1H24BVH,2,0,0,0,1,1,1,0,0,1
A1H5B2XY,2,0,0,0,0,2,1,1,0,1
A1H3FBMR,2,0,0,0,0,1,1,0,1,1
A1GMNKFQ,2,0,0,0,0,1,1,0,1,1
A1FDMRWS,2,0,0,0,0,1,1,0,1,1
A1G2WKYZ,2,0,0,0,1,1,1,0,0,1
A1EY3OMV,2,0,0,0,0,1,1,0,1,1
A1HRCWKX,2,0,0,0,0,1,1,0,1,1
A1GYQUOO,2,0,0,0,0,2,1,1,0,1
A1KRK6MJ,3,1,0,0,0,2,1,1,0,1
A1HSMCL3,2,0,0,0,0,1,1,0,1,1
A1G6L44I,2,0,0,0,1,1,1,0,0,1
A1FJHEAC,2,0,0,0,1,1,1,0,0,2
A1H3W2NE,2,0,0,0,0,2,1,1,0,2
A1R1A9OZ,3,1,0,0,0,2,1,1,0,1
A1G9CFE4,2,0,0,0,1,1,1,0,0,1
