Seed,DesiredNegatives,LegendaryNegatives,SkipTagOne,SkipTagTwo,RandomNegatives
457U2,1,0,0,0,0
7JCXL,1,0,0,1,0
9YLX1,1,0,0,0,2
Q38K5,1,0,0,1,1
12B7GH,1,0,0,0,1
15XCM8,1,0,0,0,0
1MJD4A,1,0,1,0,1
16Z248,2,0,0,1,1
1DT49Q,1,0,1,0,2
1HB8ZI,1,0,0,0,0
1KIKBP,1,0,0,0,1
14ELN2,1,0,1,0,0
1GOWYT,1,0,0,0,1
12KO92,1,0,1,0,3
1HUIQM,1,0,1,0,4
1PWY25,1,0,3,1,1
23DGFM,1,0,0,1,2
3IG5TX,1,0,0,0,3
2HT5KC,1,0,0,0,0
28YBAM,1,0,0,0,0
3IKUOL,1,0,0,0,1
3QEXNI,1,0,0,2,2
2E5EI6,1,0,1,0,0
2YO45Z,1,0,1,1,0
4ND1MK,1,0,0,0,1
4RE58T,1,0,0,1,1
2XXCRK,1,0,1,1,2
36CP41,1,0,0,1,0
36Y869,1,0,0,1,0
358D88,1,0,1,0,0
3IMSD9,1,0,1,0,0
3UUPVK,1,0,1,0,0
3Q2NUT,1,0,1,1,0
3NENU8,1,0,0,0,1
36NQDA,1,0,0,0,1
44QKLW,2,0,0,2,1
48GB6Y,1,0,2,0,0
4YZ4HT,1,0,1,1,0
6J2YGS,1,0,0,0,0
3NRSX4,1,0,2,1,1
3T187W,1,0,0,0,1
44DU2G,1,0,0,0,0
3WV6QW,1,0,0,1,1
3WW2H4,1,0,0,0,1
4F3AUX,1,0,0,1,1
47JM2M,1,0,2,0,0
3YOKWV,1,1,0,0,0
47Z8YY,1,0,0,0,1
42PR3H,1,0,0,0,2
482WKM,1,0,1,0,1
4HQRGT,1,0,0,1,1
7H8Q7V,1,0,0,0,0
55KV2C,1,0,0,0,0
51K9CE,1,0,0,1,1
4KDBRL,1,0,0,1,0
6SPYUU,1,0,1,1,1
4PZYJM,1,0,1,1,1
89ABCU,1,0,0,0,0
51DNL6,1,0,0,0,1
56CSUQ,1,0,1,0,1
55FSO5,1,0,0,1,0
5Q49UZ,1,0,0,0,1
8VOAW6,1,0,1,2,0
57XIIE,2,0,0,0,1
52C86C,1,0,0,0,0
5LDKJT,1,0,0,0,0
5A9ZRI,1,0,1,0,1
8W4VGH,1,0,1,0,2
8V6CV7,1,0,0,3,3
5E4B4R,1,0,0,0,1
62D5K3,1,0,2,0,1
69GTDG,1,0,0,0,1
6K36IS,1,0,0,0,1
5ZR2JP,1,0,1,0,2
6EDT83,1,0,0,1,1
6TAYRL,1,0,0,0,0
AM2STY,1,0,2,0,1
6WPZEK,1,0,1,0,1
78IFU5,1,0,1,2,0
7LEG4J,1,0,2,0,0
78NE3W,1,0,0,0,0
AT59UK,1,0,0,3,2
BWPS2U,1,0,0,0,3
6RK8S6,1,0,0,0,1
6X6XT4,1,0,0,0,2
7P1WV5,1,0,0,0,2
6ZKMJ4,1,0,0,1,1
7DWF9Y,1,0,0,0,0
7AOE9I,1,0,0,0,0
7NYNDE,1,0,0,1,4
7TX5VK,1,0,0,2,2
8EA57E,1,0,0,0,0
7MIGJ1,1,0,0,0,1
6S75MD,1,0,0,0,1
CFPET6,1,0,0,1,1
7UFBYQ,1,0,0,1,3
8F37QV,1,0,0,0,1
8FOPUK,1,0,1,0,1
CRO7AD,1,0,0,0,0
7PTRQ4,1,0,0,0,2
8CESYZ,1,0,0,3,1
C7OBN6,1,0,1,1,0
8I8QXH,1,0,0,0,0
8WG1Q8,1,0,1,0,1
E7QN2D,1,0,0,0,1
8CTESJ,1,0,2,0,1
7ZWPAD,1,0,1,0,3
8WRWLP,1,0,1,0,1
965CCF,1,0,1,0,0
8S8YUC,1,0,1,0,1
EUVSPR,1,0,0,1,1
95A4WF,1,0,0,0,0
9LBNKZ,1,0,0,1,0
DQSZ2U,1,0,0,0,1
ER5L39,1,0,0,0,1
95V4YN,1,0,1,0,1
FYAASB,1,0,0,0,2
9UKM4Q,1,0,2,0,1
97W7UO,1,0,1,0,2
ANCSJN,1,0,0,0,1
AQZ7OP,1,0,0,0,2
AHDJZQ,1,0,0,0,1
AESNIC,1,0,1,0,0
E4ACXA,1,0,0,0,0
AULPXK,1,0,1,0,2
GG7SME,1,0,1,1,3
BCM87B,1,0,1,0,0
H2XUC2,1,0,1,0,1
AZ925P,1,0,0,1,0
BIQCOU,1,0,2,0,1
B2IYWV,1,0,0,1,1
ABLLMT,1,0,0,0,1
I4HMMP,1,0,0,1,0
GM3TF3,1,0,1,0,0
BBXG7U,1,0,0,0,2
BDJD9G,1,0,2,0,2
C2AFI1,1,0,1,0,0
BD74UO,1,0,0,0,2
BP6342,1,0,0,0,0
HUHHV6,1,0,2,0,2
8LDI9N,1,0,1,0,4
BWKAUG,1,0,2,1,0
B93CU4,1,0,1,0,0
A9H5DN,1,0,1,0,3
GWDUDP,1,0,0,0,0
ILJUXX,1,0,0,1,0
CO75OQ,1,0,1,1,1
CW2IAH,1,0,0,0,1
CEGZIL,1,0,0,0,1
CBXZMA,1,0,1,0,0
CW99MX,1,0,1,0,1
CFCUXN,1,0,1,1,0
CO8S7M,1,0,0,1,1
BTZ17Z,1,0,1,0,0
KFJHC1,1,0,0,0,1
CTTTKS,1,0,1,0,2
DS3FPP,1,0,1,1,1
LADIRD,1,0,0,0,1
CGMNMS,1,0,1,0,0
BHHF64,1,0,0,0,3
CY5P6G,1,0,0,0,1
DG97GX,1,0,2,0,1
DIVKDD,1,0,0,1,1
L1FSB1,1,0,1,0,1
BY6GCE,1,0,1,1,1
MVYSY3,1,0,0,0,0
ET8R7I,1,0,0,1,1
FDCRFM,1,0,0,0,0
EDYIUN,1,0,1,1,1
KS9UCQ,1,0,0,2,0
ENK9QF,1,0,0,0,0
EL16S8,1,0,0,1,1
MYBC3B,1,0,1,1,2
EXWQOH,1,0,0,0,2
EDSVH7,1,0,0,0,1
FZRZ9D,1,0,0,0,0
GBNLSK,1,0,0,0,1
MXMPKB,1,0,2,0,2
F92LOO,1,0,1,0,0
FW16FQ,1,0,0,0,0
GAFGJ5,1,0,1,0,2
7VY7EQ,1,0,0,1,2
FO8C2C,1,0,0,1,1
FIFGG2,1,0,0,1,1
FZJAKK,1,0,0,1,0
GHJL6Z,1,0,2,1,1
GOZEGB,1,0,0,0,0
FS9BQF,1,0,0,0,1
FT68NF,1,1,0,0,1
RHHJQX,1,0,0,0,2
PWHE3J,1,0,0,1,0
PP7AT8,1,0,0,0,1
IO1LPP,1,0,0,1,0
IF3JFR,1,0,0,0,2
GH3NRE,1,0,1,0,0
PQIFPN,1,0,1,1,2
I8O2VM,1,0,0,1,2
EYW2E2,1,0,0,1,0
HRWJAG,1,0,2,1,3
IILGSI,1,0,0,0,4
HEWDBT,1,0,1,0,2
GUJQGF,1,0,0,1,3
J57IEP,1,0,0,1,2
S7IFXE,1,0,0,1,2
HJJQTI,1,0,1,0,0
C9QT7K,1,0,0,1,2
H8LZB7,1,0,0,0,0
HAUH86,1,0,1,0,0
J4265R,1,0,0,2,0
HGOAYN,1,0,0,0,2
JBXJZR,1,0,0,1,1
T6KHSR,1,0,0,1,0
JDYZ8K,1,0,0,0,2
ALSZPA,1,0,1,0,0
SBEZN5,1,0,0,0,2
K4MJBQ,1,0,0,1,0
K6RKKO,1,0,2,0,1
U933KE,0,2,0,0,3
T4B6XW,1,0,1,0,0
KC8MSH,1,0,1,2,1
9KBEZX,1,0,0,1,2
KM8H91,1,0,0,0,1
JQ519W,1,0,0,0,1
E26627,1,0,0,1,2
UJUAE6,1,0,2,0,0
I8CIXB,1,0,0,1,2
J9I6TP,1,0,0,1,1
J8OQT9,1,0,2,1,2
VRMJ2F,1,0,0,0,0
JRLNZV,1,0,0,0,0
KR12HF,1,0,1,2,2
LIKZYT,1,0,0,0,1
MRG5JC,1,0,0,0,1
W7PQWL,1,0,1,0,1
LUAY6O,1,0,1,0,2
WDIYLD,1,0,0,1,1
LAQ51Y,1,0,0,0,0
KTYMNU,1,0,0,1,1
N3APR1,1,0,1,0,1
K6S6QH,1,0,0,0,2
KVUFT6,1,0,1,0,1
MW1TZ4,1,0,2,0,1
YMUTCZ,1,0,0,0,2
L7RFVC,1,0,0,0,0
NR6IC1,1,0,0,0,1
M6JWMP,1,0,2,0,0
X258MT,1,0,0,1,0
M67ELY,1,0,1,0,0
LNZDIW,1,0,0,0,2
MC6YOT,1,0,0,0,0
L47BMD,1,0,1,1,1
L1U3ZV,1,0,0,0,0
12MRW2L,1,0,1,0,2
N4CIFQ,1,0,0,0,1
MEABZO,1,0,0,1,0
L6Z1LZ,1,0,0,0,2
MOAEFF,1,0,3,1,0
LG41I5,1,0,1,0,1
OMS5D7,1,0,0,1,2
YBYW2O,1,0,1,1,1
NAKLWH,1,0,1,1,0
GZSBGO,1,0,2,0,0
12Y2YSP,1,0,1,0,1
ZUO3O5,1,0,1,1,1
MVVYB8,1,0,1,1,2
P9P6YB,1,0,0,0,2
PQ3ERB,1,0,0,0,2
PQGUTK,1,0,1,0,0
O55I6Z,1,0,0,0,0
I4RPNU,1,0,0,0,0
OBHDE5,1,0,1,0,2
PGM947,1,0,0,2,3
OFK8KN,1,0,1,0,1
Q8N92Y,1,0,0,2,0
P2SOEX,1,0,1,0,0
POX9EU,1,0,0,0,0
14A8IFR,1,0,0,0,1
QDOY67,1,0,1,1,2
P6SLF4,1,0,0,0,0
O6BUSV,1,0,1,0,1
OUENOP,1,0,0,0,1
12OXDC5,1,0,0,0,0
RRTIIR,1,0,1,0,1
13FA2NR,1,0,0,1,2
Q37B2W,1,0,0,1,0
Q9AAO4,1,0,0,1,1
R9NCZN,1,0,2,0,0
RBWIQD,1,0,1,0,1
Q19A8T,1,0,1,0,0
OETBDK,1,0,1,0,2
RE79G2,1,0,0,3,3
OYZ34U,1,0,0,0,1
Q3H43N,1,0,1,1,1
QYFCL3,1,0,0,1,0
QAFSXQ,1,0,1,0,3
SABHWH,1,0,0,0,2
N58R4J,1,0,1,1,0
QL4ZWA,1,0,1,0,2
RNK7P9,1,0,1,0,0
15EFTCF,1,0,0,0,1
Q7RSOK,1,0,1,0,2
QQITG1,1,0,0,0,2
TCPMNS,1,0,0,0,0
QDRTYC,1,0,1,2,2
POJF5A,1,0,1,1,1
SCTHBC,1,0,0,0,0
QHXVVW,1,0,0,0,0
SB1THY,1,0,1,0,1
RYWLH2,1,0,1,2,1
RNQSZU,1,0,0,0,0
QTUV2O,1,0,0,0,2
TIS5CL,1,0,0,1,1
T1LQYP,1,0,0,0,3
TVJWGX,1,0,2,0,1
L3428F,1,0,0,0,0
RN5NQT,1,0,0,1,1
REG83L,1,0,0,1,1
TQ4AUT,1,0,0,0,0
S6N9IC,1,0,2,1,1
UYYXGL,1,0,2,1,3
186KRDN,1,0,2,1,1
T9Q4QI,1,0,0,2,2
TJ41SR,1,0,0,0,3
TL8MZP,1,0,1,0,0
19EP6JR,1,0,2,0,1
RK4Z4K,1,0,1,0,1
TJZ5SJ,1,0,0,0,0
1716LC7,1,0,1,0,2
FQ3P7B,1,0,1,1,0
VHKWJB,1,0,1,0,0
UKUYXF,1,0,0,0,1
1DO5P2R,1,0,1,0,1
TVXTXJ,1,0,0,0,0
WPFF44,1,0,0,1,1
TIQ175,1,0,0,1,1
UZKBX7,1,0,1,0,1
1EP5YVB,1,0,0,2,2
STATER,1,0,0,0,4
1AQTJ6L,1,0,0,1,1
1EXVVCC,1,0,1,0,0
HXSB3S,1,0,0,0,0
TY6G8S,1,0,0,0,4
W8V7CA,1,0,1,1,1
1E3ZRUM,1,0,0,0,1
UVIORH,1,0,0,0,1
1CV7UM2,1,0,0,1,2
UDHACD,1,0,0,1,1
1G99TUN,1,0,1,0,1
VR3K4A,1,0,0,2,0
XCNJMT,1,0,0,0,2
UZWEEG,1,0,0,0,0
YQKRXV,1,0,1,0,1
WBCNGO,1,0,0,1,0
PZNB9U,1,0,0,0,1
S5ZJA9,1,0,0,0,0
1FN2K8Z,1,0,0,1,2
W3YF18,1,0,1,2,2
XDILIF,1,0,0,1,0
ZINCPN,1,0,1,0,1
YEYZUB,1,0,0,0,0
1IN2NMY,1,0,0,2,2
XX1QWM,1,0,1,0,0
WMY6TB,1,0,0,3,2
Y9L6NT,1,0,0,1,2
YS45DP,1,0,1,1,0
T9Y45J,1,0,0,0,0
VNNTBY,1,0,0,1,0
XLMBSV,1,0,1,1,2
Y8I4F5,1,0,0,1,2
WSIXV3,1,0,0,3,1
1KT4YLX,1,0,0,2,1
YW6XSX,1,0,1,0,1
ZL99N1,1,0,1,1,1
YJ2A1T,1,0,1,0,0
XBII4G,1,0,0,1,1
ZOU5PF,1,0,2,1,3
1HRJIR6,1,0,0,1,2
1KEXIVU,1,0,2,0,0
XNQF3Q,1,0,0,0,0
12RDKD5,1,0,0,0,0
ZD8HRH,1,0,1,0,1
ZAHGU8,1,0,0,0,3
1M9TQJV,1,0,1,2,0
XYBNSV,1,0,0,0,2
139AVAS,1,0,1,1,1
11284RQ,1,0,0,1,1
WR9FGS,1,0,1,0,1
XVSDHL,1,0,0,2,0
114SHBR,1,0,2,0,1
13H3SKK,1,0,1,0,1
1N29VO7,1,0,0,0,0
13RU6BU,1,0,1,0,1
11H45IX,1,0,0,1,0
YRTIEJ,1,0,1,0,0
YZ1S73,1,0,2,0,1
12Y2EKG,1,0,0,1,0
1MME2WT,1,0,0,1,2
14BK996,1,0,1,0,0
11GF5Q7,1,0,0,0,0
S4HVHF,1,0,0,1,1
122SUNB,1,0,0,1,0
1I5TZP3,1,0,1,2,0
ZGMV4U,1,0,2,0,1
12NFY1B,1,0,1,0,1
134LW4U,1,0,0,1,0
117SYB9,1,0,0,0,0
11RP36Q,1,0,1,0,1
14AL35I,1,0,1,0,0
1Q4URAW,1,0,0,0,0
Y6VIZA,1,0,0,1,0
15SZFH3,1,0,0,0,0
13MEVAI,1,0,1,1,0
