Seed,Blurprint,Brainstorm,DNA,Burnt,Oops,Space,Negatives
11YB33,0,1,0,0,1,0,1
12XHA1,0,1,0,0,0,0,0
16DOJ1,0,1,0,0,0,0,1
16BL55,0,1,0,0,0,1,0
16KJN2,0,1,0,0,0,0,1
17TIIX,0,1,0,0,1,1,2
17HTNX,0,1,0,0,0,1,1
17FG5C,0,1,0,0,1,1,1
19HQXO,0,1,0,0,0,0,1
19QGFF,0,1,0,0,0,0,0
1CP3RJ,0,1,0,0,1,1,0
1DVSW1,0,1,0,0,0,0,0
1E6MC7,0,1,0,0,0,0,0
1I8H8T,0,1,0,0,0,0,0
1NID77,0,1,0,0,0,0,2
1LN45R,0,1,0,0,0,1,1
1L6V9Q,0,1,0,1,1,1,1
1NFUZX,0,1,1,1,1,0,1
1QMUKG,0,1,0,0,0,0,1
1UD3LB,0,1,0,0,0,1,0
1VDW8Q,0,1,0,0,1,0,1
1XGG7C,0,1,0,1,0,0,3
1WKWN5,0,1,0,1,0,0,0
1WT9JW,1,1,0,0,0,0,0
22E637,0,1,0,1,1,0,0
1Y5TKP,0,1,0,0,0,0,0
22JG5E,0,1,0,0,0,1,1
24B496,0,2,0,0,0,1,1
26ASU7,1,1,0,1,0,0,0
28RCQW,0,1,0,0,0,0,0
267ST7,0,1,0,0,0,0,1
28KGBP,0,1,0,0,0,0,0
295LH8,0,1,0,0,0,0,0
2EGU3D,0,1,0,1,0,0,1
2IRMFH,0,1,0,0,0,0,1
2J7TI2,0,1,0,0,0,0,1
2K78XP,0,1,1,0,0,0,1
2N8Q9Z,0,1,0,0,0,0,1
2JLRSS,1,1,0,0,0,0,0
2JVY53,0,1,0,0,0,0,1
2LNDAX,0,1,0,0,1,0,0
2Q1ZP3,0,1,0,0,1,0,1
2RBU9S,0,1,0,0,0,0,1
2SC37L,0,1,0,0,1,0,0
2R2KIS,0,1,1,0,0,0,0
2RU9C4,0,1,0,0,0,0,0
2QGYQB,0,1,0,0,0,0,0
2TY9TJ,0,1,0,0,0,0,1
2VIHEA,0,1,0,0,0,0,0
2U7RVQ,0,1,0,0,0,0,1
2W84D1,0,1,0,0,0,0,0
2YPM8T,0,1,0,0,0,1,0
343QSX,0,1,0,0,0,0,0
32MQMP,0,1,0,0,0,0,0
372B22,0,1,0,0,0,0,2
333CRZ,0,1,0,0,0,0,1
33Y9JG,0,1,1,0,0,0,2
35D3X5,1,1,0,0,0,0,1
39EZYS,0,1,1,0,0,0,0
3C4PAF,0,1,0,1,0,0,1
3BT9GS,0,1,0,0,1,1,0
3G3NNA,0,1,0,1,0,0,1
3HFM2E,0,1,0,0,0,0,1
3EYL3U,0,1,0,0,1,1,0
3KCAOC,0,1,0,0,1,0,3
3NP8YD,0,1,0,0,0,0,2
3JHFPX,0,1,0,0,1,0,0
3MVBKX,0,1,0,0,0,0,1
3MI6C5,0,1,0,0,0,0,0
3OSEOT,0,1,1,0,1,0,1
3VXAMC,0,1,0,0,1,0,0
3ONMTH,0,1,0,1,0,0,1
3UI9IK,0,1,0,0,0,0,1
3Q4II6,0,1,0,0,0,0,1
3RTX25,0,1,0,0,0,0,0
3RTO2N,0,1,0,0,0,0,0
3XNTCJ,0,1,0,0,0,0,1
3XPZ9L,0,1,0,0,0,0,3
3YSTRX,0,1,0,0,0,0,1
3U8B36,0,1,0,0,0,0,3
415RJL,0,1,0,0,0,0,0
43IXLT,0,1,0,1,0,0,1
3YS5GN,0,1,0,0,0,1,0
484YCJ,0,1,1,0,0,0,0
491YWE,0,1,0,0,0,0,1
45MWN8,0,1,0,0,0,0,2
45ZBR7,0,1,0,1,0,0,1
4AD48B,0,1,0,0,0,0,3
46I3BP,0,1,0,0,1,0,0
47EI84,0,1,0,1,0,1,1
47RHJ2,0,1,1,0,0,0,0
4D1TO8,1,1,1,1,0,0,1
4CCLJV,0,1,0,0,0,0,1
4F6O55,0,1,0,0,0,0,0
4GQBUQ,0,1,0,0,0,0,0
4IWH9N,0,1,0,0,0,0,3
4FVRQ4,0,1,0,0,0,0,1
4GWZE5,0,1,1,0,0,0,0
4SPLIH,0,1,0,0,0,0,1
4US4DN,0,1,0,0,0,0,1
4X679D,0,1,0,0,1,0,1
5222OI,0,1,0,0,0,1,0
4VRCUX,0,1,0,1,0,0,0
4YB9VU,1,1,1,0,0,1,0
52XTW3,0,1,0,0,0,0,0
58FF1Z,1,1,0,1,0,0,0
55OBSH,0,1,0,0,0,0,1
58YHDI,0,1,0,0,0,0,0
561HL3,0,1,0,0,0,0,1
5FV2XX,0,1,0,0,0,0,2
5FU7Q9,0,1,0,0,0,0,1
5CM3RD,0,1,0,0,0,0,0
5FCTHQ,0,1,0,0,0,0,1
5IZN1F,0,1,0,0,1,1,1
5NEFNP,0,1,0,1,0,2,0
5N9HY9,0,1,0,0,0,0,0
5KW55E,0,1,0,0,0,0,2
5K6UMT,0,1,0,0,1,1,0
5LDOAY,0,1,0,0,0,0,0
5SYPIN,0,1,0,1,0,0,0
5LQB9F,0,1,0,0,1,0,0
5LWWN7,0,1,0,0,1,0,4
5PQCXX,0,1,0,0,0,0,2
5OTXSC,0,1,0,0,1,0,1
5UBHM6,0,1,0,0,0,0,1
5Y91M9,1,1,0,0,0,0,1
5YX7UL,0,1,0,0,0,0,1
6A9H9T,0,1,0,0,0,0,0
6P8H5F,0,1,0,1,0,0,0
6BNP8O,0,1,0,0,0,0,0
6HYP4F,0,1,0,0,1,1,0
6L1BUJ,0,1,0,0,0,1,2
6IWAKM,0,1,0,0,0,0,1
6OXS6O,0,1,1,1,0,1,0
773P7P,0,1,0,0,0,0,0
6OAD1H,0,1,0,0,1,0,0
6SU8MT,0,3,0,0,0,0,0
6TNAGO,0,1,0,0,0,0,0
6U6SYI,0,1,0,0,0,0,1
6UBIHU,0,1,0,0,0,1,1
6WZP7G,0,1,0,0,0,0,0
7667L7,0,1,0,0,0,0,1
79KMN8,0,1,0,0,0,0,2
79DBFK,0,1,0,0,0,0,0
6YWAD4,0,2,0,0,1,1,0
74AU6V,0,1,0,1,0,1,0
71X5U9,0,1,0,0,0,0,1
76J75D,0,1,0,0,0,0,1
7D2WCO,0,1,0,0,0,1,1
7FX8O7,0,1,0,0,0,0,0
7GVWG4,0,1,0,1,0,1,0
7IT7GM,0,1,0,0,0,0,0
7ONUNI,0,1,0,0,1,0,0
7J4AOX,1,1,0,0,0,0,2
7AHOXQ,0,1,0,0,0,0,0
7P1J42,0,1,1,1,0,0,0
7KDH4K,0,1,0,0,1,1,0
7MF1V4,0,1,0,0,0,0,2
7JV3SS,0,1,0,1,0,0,0
7TSXVA,0,1,0,0,0,0,0
7Q31J8,0,1,0,0,0,1,0
7QWW1Q,0,1,0,0,0,0,0
82QVER,0,1,0,1,0,0,0
863ALA,2,1,0,0,0,0,1
7Y7WJ5,0,1,0,0,0,0,0
86E1Q5,1,1,0,0,0,0,1
7WS7R2,0,1,0,0,0,0,1
81ISTK,0,1,0,0,0,1,3
7YTJLF,0,1,0,0,0,0,0
7YHMIW,0,1,0,0,1,0,0
816ZKF,0,1,0,1,0,0,0
8GFHG4,0,1,0,0,0,0,0
8HUHF3,1,1,1,0,0,0,0
8DBZN9,0,1,0,0,1,0,0
8E7A13,0,1,1,0,0,0,1
84PTHS,0,1,0,1,0,0,0
89NQI9,0,1,0,0,0,0,1
8NDKTH,0,1,0,0,0,0,0
8C51RJ,0,1,0,0,0,0,2
8B4S8I,0,1,0,0,0,0,0
8AN34Q,0,1,0,1,0,0,1
8GIXSZ,0,1,0,0,0,0,1
8PVYX7,0,1,0,0,1,0,1
8KE3Q3,0,1,0,0,1,0,1
8IWYY3,0,1,0,0,0,0,2
8GXNRR,0,1,0,0,0,0,0
8MA9NN,0,1,0,0,0,0,0
8XO115,0,1,0,0,0,1,0
8UMWZ3,0,1,0,1,0,0,0
9DSMYI,0,1,0,0,0,0,0
9CK8O5,1,1,0,0,0,0,2
956TJR,0,1,0,0,0,0,2
9LEUL4,0,1,0,0,0,1,2
97EC61,0,1,0,0,0,0,2
975AUD,0,1,0,0,0,1,0
9CI1AP,0,1,0,0,0,0,0
A2CJNA,0,1,0,0,0,0,0
9WVHLK,0,1,0,1,0,0,0
A5QLBX,0,1,0,0,0,0,0
9O3QWL,0,1,0,0,0,1,0
A1R7T7,0,1,0,0,0,0,0
A3T7AA,0,1,0,0,0,1,0
AER6QB,0,1,0,0,1,0,1
9ZG6UD,0,1,1,0,0,0,1
9X7VFT,0,1,0,0,0,0,0
ADSGRT,0,1,0,1,0,0,0
A25MVD,0,1,0,0,0,0,1
AT59I5,0,1,0,0,0,0,0
AD5AN1,0,1,0,0,0,0,1
B88RDO,0,1,0,0,0,1,0
AUFWKQ,1,1,1,0,0,0,0
AH9WRD,0,1,0,0,0,0,1
AIKHFP,0,1,0,0,0,0,1
AOI6BN,0,1,0,0,0,0,2
APA46G,0,1,1,0,0,0,1
ARWAJE,0,1,0,1,0,0,0
ALFKDF,0,1,1,0,0,0,0
BCIEY5,0,1,0,0,1,2,1
ASD5GR,0,1,0,0,0,0,2
B1R75M,0,1,0,0,0,0,1
APBQSH,0,1,0,0,0,0,0
AZHWIW,0,1,0,0,0,0,0
BAQGXY,0,1,0,0,0,0,1
BHXOON,0,1,0,0,0,0,1
BA2JJ3,1,1,0,0,0,0,0
B4BSRY,0,1,1,0,0,0,0
BGUYHU,0,1,0,0,0,0,2
B1JV6J,1,1,0,0,0,0,1
B8SQV3,0,1,0,0,0,0,1
B49ZUT,0,1,0,0,0,0,0
BPV6DE,0,1,2,0,1,1,0
B1GML7,0,1,0,0,0,0,1
BEBXCJ,0,1,0,0,0,1,0
BBF1J5,0,1,0,0,0,1,1
BZMQ9O,0,1,1,0,0,0,1
C8J185,0,1,0,0,0,0,1
CABAV8,0,1,0,1,0,0,1
BX9KVA,0,1,0,0,0,1,2
BOT1MO,0,1,0,0,0,0,0
BQXMA7,0,1,0,0,0,0,0
CDM6JP,0,1,0,0,0,1,0
CB5LAT,0,1,0,0,0,0,2
CB6NIF,0,1,0,0,1,0,1
D5N63Q,0,2,0,0,0,0,1
CEDFGK,0,1,0,0,0,0,2
C8PNVP,0,1,0,0,0,0,0
CIY5ZE,0,1,0,0,0,1,0
CKWCFP,0,1,0,0,0,0,0
CEGHWE,0,1,0,0,0,0,0
D3GDOY,1,1,0,0,0,0,1
CZ9YXR,0,1,0,0,0,1,1
CFXR4I,0,1,0,0,0,0,2
CFVOKI,0,1,0,1,0,0,1
CT2OSW,0,1,0,0,0,0,3
CPDN2T,0,1,0,0,0,0,2
CEUK3C,0,1,0,0,0,0,1
D1PZT1,0,1,0,0,0,0,2
CS36E4,0,1,0,0,0,1,0
D36D6Q,0,1,1,0,0,0,2
D9I9Z9,0,1,0,0,0,0,1
CW42SF,0,1,0,1,0,0,0
CX4UXX,0,1,0,0,1,0,0
D3ORPU,0,1,0,0,0,1,1
E2NCV4,0,2,0,0,0,0,2
D2QG8P,0,1,0,0,0,0,1
D3XWHL,0,1,0,0,0,0,2
DGF9YF,0,1,0,1,0,0,0
D87ZOP,0,1,0,0,0,0,0
DBC7EO,1,1,0,0,0,0,0
DV9XEF,0,2,0,0,0,0,0
EBLVSL,0,2,0,1,1,1,1
DIOYUR,1,1,0,0,0,0,1
E64Y68,1,1,1,0,0,0,1
DP8R7W,0,1,0,0,1,0,1
DT4FJG,0,1,0,1,0,1,1
DHM7L9,1,1,0,0,0,0,1
DKYOMP,0,1,0,0,0,0,1
ESMGJX,0,1,0,0,0,0,2
DQGAVK,0,1,0,0,0,0,3
DQKC5Q,0,1,1,0,0,0,3
EQJUWH,0,1,0,0,0,0,0
DNVNKA,0,1,0,0,0,0,1
EGOEVW,0,1,0,0,0,1,0
ECL3AM,0,1,0,0,0,0,1
ECOX9U,0,1,0,0,1,0,0
ERBTGW,0,1,0,0,0,0,0
E337V1,0,1,0,0,0,1,1
EH3LAE,0,1,0,0,0,0,1
EN47K6,0,1,0,0,0,0,2
EY1K1X,0,1,0,0,0,0,0
EKRS1V,0,1,0,0,0,0,1
EBSR6N,0,1,0,0,0,0,1
ECJT5O,0,1,0,0,0,1,0
EM7Q5T,0,1,0,0,1,0,0
E9D2QY,0,1,0,0,0,0,0
ERHVU2,0,1,0,0,0,0,2
F7JLAU,3,1,0,0,0,1,0
EJPDSZ,1,1,0,0,0,0,0
EQ21MZ,0,1,0,0,0,0,1
FL2MI2,0,1,0,0,0,0,0
F37UBR,0,1,0,0,1,0,0
ETKC3X,0,1,0,0,0,0,0
EXXIY6,0,1,0,0,0,0,1
F2N1FT,0,1,0,0,0,0,1
F8LYDY,0,1,0,0,0,1,0
F4F2M2,0,1,1,0,0,0,0
F4N6FM,0,1,0,1,0,0,0
FGF9QL,0,1,0,0,0,1,2
FBUZJS,1,1,1,0,0,0,1
GKWBSG,0,1,0,0,0,1,0
FG2AAB,0,1,0,0,0,0,1
FLNFHR,0,1,0,0,0,0,0
FJVE4P,0,1,0,0,0,0,1
GHII2A,0,1,0,0,0,0,1
FSJY5Y,0,1,0,1,0,1,0
FJ3DOF,0,1,0,0,0,0,0
G3WSYG,0,1,0,0,0,0,2
FTE4UO,0,1,0,0,1,0,2
FW7RBA,0,2,0,0,0,0,1
GCFFQZ,0,1,0,0,0,0,1
GG4ZCH,0,1,0,0,0,0,1
