Seed,Score,Blueprint or Brainstorm,Oops All 6s,Mime or Baron,Sock or Hanging Chad,Troubadour or Juggler,Ante
GAY1KPB9,3,0,0,9,9,6,13
GAY1LYHL,2,1,0,9,9,7,15
GAY2GNG4,1,0,9,9,9,8,11
GAY2UMUQ,2,0,0,0,0,7,15
GAY97NHC,2,0,0,0,1,0,07
GB1PFKA4,1,0,9,9,9,3,14
DIKT4AJK,1,0,1,0,0,0,13
DIKUJDBS,2,0,0,0,1,1,16
DIL82QXH,2,0,0,0,1,1,16
DIKZH8CG,2,1,0,0,1,0,15
DIL2DMDP,2,0,0,0,2,0,09
DIMPNV1N,1,0,1,0,0,0,15
69FC9I89,2,1,0,1,0,0,12
69FEAVWP,2,0,0,1,0,1,10
69FEFSYS,2,0,0,1,0,1,07
69FHKQ5F,2,1,0,0,1,0,13
CUP2RXY ,2,1,0,0,0,1,10
CV2BD6O ,2,0,1,0,0,1,09
CV8A8SZ ,2,1,0,0,0,1,16
CZ5HPW6 ,2,1,0,1,0,0,13
CVB8LXY ,2,0,1,0,1,0,08
CUR81IB ,3,0,0,0,1,2,09
CW17D79 ,3,1,0,0,2,0,10
D1E9OYH ,3,0,1,1,1,0,09
D1RAS86 ,3,0,0,2,0,1,08
D39RAXN ,2,1,0,0,0,1,12
DMXAH2S ,2,0,1,1,0,0,12
D3RX6OP ,2,0,1,0,1,0,12
DFNT7T5 ,3,0,0,0,3,0,09
DGA6785 ,2,1,0,0,0,1,04
D7RW7WX ,2,0,1,0,0,1,07
DNY7JYE ,3,0,1,0,0,2,13
CYMQTZM ,3,1,0,0,0,2,06
CZN6O7D ,2,2,0,0,0,0,15
DFDPE6O ,3,0,0,0,3,0,16
DMB5RQ1 ,2,1,0,0,0,1,09
DK5GEWB ,2,1,0,1,0,0,12
E14YCSD ,2,1,0,0,1,0,11
F115QIC ,2,0,1,0,1,0,12
DLMNRYE ,2,0,1,0,0,1,13
ERCTFSH ,3,0,0,0,2,1,08
DN8EO5P ,2,1,0,0,0,1,08
DY4W64Y ,2,1,0,0,0,1,06
PEJEU6J ,2,0,1,0,1,0,14
PEMG6SS ,2,2,0,0,0,0,13
PEVE2HN ,3,2,0,0,0,1,08
PEXISKI ,3,0,1,0,2,0,13
PGHKMKT ,3,0,1,0,1,1,12
PFL7GBZ ,2,0,2,0,0,0,05
PF8A2L3 ,2,0,1,0,1,0,13
PFTXRER ,2,1,1,0,0,0,11
PGG6ZOF ,3,0,0,0,0,3,14
PRCXFND ,2,0,1,0,0,1,16
PKH3GAT ,3,1,0,0,0,2,09
PW53BRK ,2,0,1,0,0,1,16
PKOTEXK ,2,1,0,0,0,1,13
QDK8J5I ,2,1,0,0,1,0,07
PSTHV2A ,2,0,1,0,1,0,14
PT1QPTM ,2,0,1,0,1,0,14
QYWMUMU ,2,0,2,0,0,0,15
QABW285 ,2,0,1,1,0,0,06
QVXIBFW ,2,1,1,0,0,0,15
QHJ18J7 ,2,0,1,0,1,0,12
RDA57S7 ,2,0,1,0,1,0,15
RCSCQDO ,2,0,1,0,0,1,13
Q4ZDU6C ,2,1,0,0,0,1,15
Q3NQWZV ,2,0,1,1,0,0,07
PIREDLD ,2,1,0,0,0,1,16
QO698KG ,2,1,0,0,1,0,08
RCPBEWJ ,3,0,0,0,0,3,09
QL97HPK ,2,1,0,0,1,0,10
QD8UU2Q ,2,0,1,0,0,1,14
PYNDHJ4 ,2,1,0,0,1,0,11
SDKHDZY ,2,0,1,1,0,0,05
S6T1MI8 ,2,1,0,0,0,1,10
