Seed,Score,Oops,BlueprintBrainstorm,InvisibleJoker,Hack,Fibonacci,8Ball,Negative
69PJLFTI,11,2,0,0,1,1,1,1
69PLB2TN,10,2,1,0,1,1,1,0
69PKK45T,10,1,0,0,2,1,1,0
69PL9FT3,12,2,2,0,1,1,1,0
69PM9OQF,10,1,0,0,3,1,1,0
69PLH9UI,11,2,1,0,1,1,1,0
69PM6HXK,11,1,1,0,2,1,1,0
69PLWBCJ,12,2,0,0,2,1,1,0
69PM53OV,12,1,2,0,1,1,1,0
69PN9OOF,10,1,1,0,2,1,1,0
69PME4RO,10,3,0,0,1,1,1,0
69PMM1GE,10,3,0,0,1,1,1,0
69PMOVEB,10,2,0,0,2,1,1,0
69PNZNSJ,10,3,0,0,1,1,1,0
69POKPGV,10,2,1,0,1,1,1,0
69PN5EIV,10,1,1,0,2,1,1,0
69PNNIKP,11,1,1,0,1,1,1,1
69PND23R,10,1,1,0,2,1,1,0
69POZUJO,10,1,2,0,1,1,1,0
69PNVDSU,11,2,0,0,2,1,1,1
69PPHNSN,12,2,2,0,1,1,1,0
69PPTUXO,12,2,2,0,1,1,1,0
69PRPMJ8,13,1,2,0,2,1,1,1
69PSGRRH,10,2,0,0,1,1,1,0
69PQAC62,11,1,2,0,1,1,1,0
69PSPYWC,11,3,0,0,1,1,1,1
69PSPXVB,12,1,2,0,2,1,1,0
69PSW2JQ,10,1,2,0,1,1,1,0
69PRI8AY,10,1,2,0,1,1,1,0
69PSIDQ1,12,1,1,0,3,1,1,0
69PSDTOK,10,3,0,0,1,1,1,0
69PRYX94,10,1,2,0,1,1,1,0
69PTW65O,10,1,2,0,1,1,1,0
69PSAIHR,11,1,2,0,1,1,1,0
69PRF347,10,1,0,0,2,1,1,0
69PT4OV9,12,2,1,0,2,1,1,0
69PVOYM1,10,2,0,0,2,1,1,0
69PWKHHG,10,1,0,0,2,1,1,0
69PUZB7H,10,1,1,0,1,1,1,0
69PVH4QF,10,2,0,0,2,1,1,0
69PV1T2I,10,2,1,0,1,1,1,0
69PVLQOT,10,2,0,0,2,1,1,0
69PVXXFK,10,1,1,0,2,1,1,0
69PUZE96,10,2,0,0,2,1,1,0
69PX9P98,10,2,1,0,1,1,1,0
69PX6PWL,12,1,2,0,2,1,1,0
69PXYGM4,10,1,0,0,3,1,1,0
69PWHA6A,10,3,0,0,1,1,1,0
69PVUTIE,10,2,1,0,1,1,1,0
69PW87TN,10,2,0,0,2,1,1,0
69Q3L7KD,10,2,1,0,1,1,1,0
69Q1I3SI,12,1,2,0,1,1,1,0
69Q2GOMH,10,1,0,0,3,1,1,0
69Q1123E,10,2,1,0,1,1,1,0
69PWY41O,10,1,1,0,2,1,1,0
69PUK3KE,12,2,1,0,1,1,1,1
69Q15ULM,10,2,0,0,2,1,1,0
69PZBRTA,10,1,2,0,1,1,1,0
69PX58NJ,11,2,1,0,1,1,1,0
69PZKV21,11,1,1,0,1,1,1,1
69Q4RP53,10,1,1,0,1,1,1,0
69PX8BUB,12,2,1,0,1,1,1,0
69PYBL9Q,10,2,0,0,2,1,1,0
69Q1POI1,11,1,1,0,2,1,1,0
69PY8H5H,11,1,0,0,3,1,1,0
69Q21BI6,11,2,0,0,2,1,1,0
69Q54TAT,10,1,2,0,1,1,1,0
69Q61YEH,10,2,0,0,2,1,1,0
69Q21BIC,10,1,1,0,1,1,1,0
69Q4FIXV,10,2,1,0,1,1,1,0
69Q6NDDO,11,1,1,0,2,1,1,1
69Q3LCSB,10,2,1,0,1,1,1,0
69Q1SJSC,10,2,1,0,1,1,1,0
69Q2SO7F,11,1,1,0,1,1,1,0
69Q27KWO,10,1,2,0,1,1,1,0
69Q4AVT6,11,2,0,0,2,1,1,1
69Q86WVA,10,2,0,0,2,1,1,0
69Q5FHLT,10,1,2,0,1,1,1,0
