Seed,Score,Blueprint,Brainstorm,OopsAll6s,LuckyCat,Hack,None,NegativeSkipTags,NegativeRandomJokers
36MWN   ,2,0,1,0,0,1,0,0,0
9XXHQ   ,1,0,0,0,0,1,0,1,0
FX9VD   ,2,1,0,0,0,1,0,1,0
IQQGX   ,2,0,1,0,0,2,0,0,0
J1JR8   ,2,0,1,0,0,1,0,3,0
LVC3T   ,1,0,0,0,0,4,0,0,0
PQSPZ   ,1,0,0,0,0,1,0,0,0
W7ZOO   ,2,0,0,1,0,1,0,0,0
155B7I  ,1,0,0,0,0,4,0,0,0
17UQA5  ,2,0,0,1,0,3,0,2,0
19GWGL  ,2,0,0,1,0,1,0,0,0
19QDOY  ,1,0,0,0,0,5,0,0,0
1DR4I6  ,2,0,0,0,1,1,0,1,0
1GBSK4  ,1,0,0,0,0,1,0,0,1
1KYHPA  ,1,0,0,0,0,1,0,0,0
1ITHQZ  ,1,0,0,0,0,1,0,2,0
1NZ749  ,3,0,1,2,0,1,0,0,0
1VDGP4  ,1,0,0,0,0,1,0,0,0
1V6NOP  ,1,0,0,0,0,1,0,0,0
1ZZWMV  ,2,0,1,0,0,1,0,1,0
24IDJ1  ,3,0,0,1,2,1,0,0,0
2CW8HV  ,1,0,0,0,0,1,0,0,0
2C1YD1  ,1,0,0,0,0,1,0,1,0
2HT8B5  ,3,0,2,1,0,3,0,1,0
2I7ONB  ,2,0,1,0,0,1,0,0,0
2N5NQY  ,1,0,0,0,0,1,0,2,0
2M7BQG  ,1,0,0,0,0,1,0,1,0
2OJ778  ,1,0,0,0,0,1,0,0,0
37UHLF  ,1,0,0,0,0,2,0,1,0
3F9PWQ  ,1,0,0,0,0,1,0,0,0
3D89X2  ,3,0,0,1,2,1,0,1,1
3FO7O5  ,2,0,1,0,0,1,0,0,0
3DZ5RD  ,3,1,1,0,0,1,0,0,0
3J8TC3  ,1,0,0,0,0,1,0,0,0
3SPJXN  ,2,1,0,0,0,1,0,0,0
3X9AKQ  ,1,0,0,0,0,1,0,0,0
3Y3RK8  ,3,0,1,0,1,1,0,1,0
43O4PG  ,1,0,0,0,0,1,0,1,0
468JNM  ,1,0,0,0,0,1,0,0,1
46YWJY  ,2,0,0,0,1,1,0,1,0
4DE832  ,2,0,0,0,1,2,0,1,0
4FIZPT  ,1,0,0,0,0,1,0,3,0
4CZ5NY  ,2,0,0,1,0,1,0,0,0
4EVST4  ,1,0,0,0,0,1,0,1,0
4EVUYL  ,2,0,1,0,0,1,0,1,0
4O78HD  ,1,0,0,0,0,1,0,2,0
4YAD64  ,3,0,1,1,0,1,0,1,0
5NPPMU  ,2,0,2,0,0,1,0,1,0
5MYEZF  ,2,0,1,0,0,1,0,1,0
5OC86U  ,1,0,0,0,0,1,0,2,0
5TV5SU  ,2,0,0,1,0,1,0,0,0
5ZA6IQ  ,1,0,0,0,0,2,0,0,0
63DHWW  ,3,0,0,1,1,1,0,2,1
5YCO29  ,4,1,1,2,0,1,0,0,0
61TYL9  ,1,0,0,0,0,1,0,2,0
5Z64XL  ,2,0,1,0,0,1,0,1,0
6DCGS2  ,2,0,1,0,0,1,0,1,0
5YNAFP  ,1,0,0,0,0,1,0,0,0
65MADO  ,1,0,0,0,0,1,0,0,0
6LHQGI  ,1,0,0,0,0,1,0,0,0
6JDTE6  ,1,0,0,0,0,1,0,1,0
