Seed,Score,Blueprint,Brainstorm,The_Soul,Oops_All_6s,Twos,NegTags,NegJokers
PQFVCS8S,1,0,0,3,0,5,0,0
PR7L9A2E,1,0,0,2,0,9,0,0
PQYOSH5W,1,0,0,2,0,7,1,0
PSD49BJ3,1,0,0,2,0,7,0,0
PR34ID9S,2,2,0,2,0,6,0,0
PQ82Y8QR,1,0,0,2,0,4,1,0
PR8USCT8,1,0,0,2,0,4,2,0
PRQELQCQ,1,0,0,2,0,4,0,0
PS1RFV1D,2,1,0,2,0,3,0,1
PQKRSX9J,1,0,0,2,0,3,1,0
PSIWGG6T,1,0,0,2,0,2,2,0
PPMXCR1M,2,1,0,2,0,1,0,0
PPG8HDR6,1,0,0,2,0,1,2,0
PQ918XWV,1,0,0,1,0,11,2,0
PPF9C5BS,1,0,0,1,0,10,0,0
PR47R9G4,1,0,0,1,0,10,1,0
PROVR7NR,1,0,0,1,0,9,0,2
PSG1J2EY,2,1,0,1,0,8,0,0
PP7MBIYV,1,0,0,1,0,8,0,0
PQABKJWI,1,0,0,1,0,8,0,0
PR9XP3PI,1,0,0,1,0,8,0,0
PRIWEGXR,1,0,0,1,0,8,0,1
PSFLF6MZ,1,0,0,1,0,8,0,0
PPYPHNMI,1,0,0,1,0,7,0,0
PQAI4P59,1,0,0,1,0,7,0,0
PQ71KS9J,1,0,0,1,0,7,0,0
PRMTEGVX,1,0,0,1,0,7,1,1
PRLNB657,1,0,0,1,0,7,0,0
POZRICFO,3,0,1,1,1,6,1,0
PPZ2DC5I,2,0,0,1,1,6,0,0
PRTNL8YF,2,0,0,1,1,6,0,0
PSQ5TYHP,2,0,0,1,1,6,1,0
POYD345X,1,0,0,1,0,6,0,0
PP2MJAEL,1,0,0,1,0,6,0,0
PPAREYGK,1,0,0,1,0,6,1,1
PPYUUPKY,1,0,0,1,0,6,0,0
PQ6E8F2P,1,0,0,1,0,6,0,0
PSLTN6SG,1,0,0,1,0,6,0,0
PSXCYDQF,1,0,0,1,0,6,0,1
PSJ4TUXZ,1,0,0,1,0,6,0,0
PTBHX11H,1,0,0,1,0,6,0,0
PQAPR9EO,3,1,1,1,0,5,0,0
PSIWHWBY,3,0,1,1,1,5,0,1
PP7J1UO6,1,0,0,1,0,5,0,0
PP98N7HF,1,0,0,1,0,5,0,0
PPGRQEXX,1,0,0,1,0,5,0,1
PQ63IQDC,1,0,0,1,0,5,0,0
PQWH8PT5,1,0,0,1,0,5,1,0
PR8AEHZJ,1,0,0,1,0,5,0,0
PRH15QB5,1,0,0,1,0,5,1,0
PSBXDG63,1,0,0,1,0,5,0,0
PRRGGYQW,1,0,0,1,0,5,0,0
PP743YDD,3,1,0,1,1,4,0,0
POXQ48AK,2,1,0,1,0,4,0,0
PRAL2MF6,2,0,2,1,0,4,0,0
POUQIG2Z,2,0,1,1,0,4,0,0
PR44BIA3,2,0,1,1,0,4,2,0
PRO9KOFU,2,0,1,1,0,4,1,0
POWYXNWA,2,0,0,1,1,4,0,0
PPLBVCZG,2,0,0,1,1,4,2,1
PQ9LREO3,2,0,0,1,1,4,1,1
POV5S33D,1,0,0,1,0,4,0,0
PPBVUAVQ,1,0,0,1,0,4,0,0
PPK2OIGZ,1,0,0,1,0,4,0,0
PPJNYEQV,1,0,0,1,0,4,0,0
PPND9458,1,0,0,1,0,4,0,1
PPVCZUBJ,1,0,0,1,0,4,0,0
PPYCH5FT,1,0,0,1,0,4,1,0
PQH125QE,1,0,0,1,0,4,1,0
PQLCL5G2,1,0,0,1,0,4,1,0
PQVWKY4F,1,0,0,1,0,4,2,0
PQP3ZJ4G,1,0,0,1,0,4,0,0
PRELDQOE,1,0,0,1,0,4,0,0
PR1F18PU,1,0,0,1,0,4,0,0
PR8F7L6X,1,0,0,1,0,4,0,0
PRM7UUSD,1,0,0,1,0,4,0,0
PS47FI4U,1,0,0,1,0,4,2,1
PSEXWZAQ,1,0,0,1,0,4,0,0
PSECM22W,1,0,0,1,0,4,0,0
PRSGSHN1,3,1,0,1,1,3,1,0
PPFZ8JSJ,2,0,1,1,0,3,0,0
PQE249VG,2,0,1,1,0,3,0,0
PRDLTSN3,2,0,1,1,0,3,0,0
PRLZ29Q5,2,0,1,1,0,3,3,0
PPROOVPV,2,0,0,1,1,3,0,0
PQCV2DPS,2,0,0,1,1,3,0,1
PRVQNQDK,2,0,0,1,1,3,0,0
PRBK6F1B,2,0,0,1,1,3,0,0
PPAAIHHC,1,0,0,1,0,3,0,0
PPWBL6R5,1,0,0,1,0,3,0,0
PQKMHB2B,1,0,0,1,0,3,0,0
PQQOZ68M,1,0,0,1,0,3,2,0
PQCZ9AH6,1,0,0,1,0,3,0,0
PQQT8KZ6,1,0,0,1,0,3,1,0
PQQQOP7D,1,0,0,1,0,3,0,0
PQU6VI2R,1,0,0,1,0,3,0,1
PRB223SE,1,0,0,1,0,3,0,0
PR76YD2V,1,0,0,1,0,3,0,0
PRWRK46F,1,0,0,1,0,3,1,0
PRDMA4BB,1,0,0,1,0,3,0,0
PS4WVJS6,1,0,0,1,0,3,2,1
PSCE6WS6,1,0,0,1,0,3,0,0
PSE1B15Y,1,0,0,1,0,3,0,0
PT64H5WO,1,0,0,1,0,3,0,0
PSX8AP42,1,0,0,1,0,3,0,0
PQKNTV2X,2,0,0,1,1,2,0,0
PQINXYYW,2,0,0,1,1,2,0,0
PQW6419H,2,0,0,1,1,2,0,0
PR1KOYCJ,2,0,0,1,1,2,1,0
PRW6I59Z,2,0,0,1,1,2,0,0
PP1OCQR2,1,0,0,1,0,2,1,0
PPCG2NHO,1,0,0,1,0,2,0,1
PPP2JQBO,1,0,0,1,0,2,0,0
PR3JP9XR,1,0,0,1,0,2,0,0
PRQEUYCX,1,0,0,1,0,2,0,0
PSNILQIM,1,0,0,1,0,2,0,0
