Seed,Score,Negative_Jokers,Negative_Blueprint,Negative_Brainstorm,Blueprint,Brainstorm,Perkeo,Odd_Todd,Negative_Odd_Todd,9,Magic_Trick,Illusion,DNA,Pareidolia,Golden_Ticket
C5WSVZ79,40,0,0,0,0,0,1,1,0,15,2,1,0,0,0
LOR64F2L,40,0,0,0,1,0,1,1,0,11,1,1,1,2,1
LR97X8XY,40,0,0,0,0,0,1,1,0,16,2,0,0,0,0
C5RIDL28,39,0,0,0,1,0,1,1,0,14,1,1,0,0,0
LLTKHZ8U,39,0,0,0,1,1,2,2,0,13,0,0,1,0,0
21573S,38,1,0,0,0,0,1,1,0,12,1,1,1,1,0
LN3TORL8,38,0,0,0,1,1,2,1,0,12,1,0,1,0,0
LNZFEWOU,38,2,0,0,0,0,1,3,0,12,1,0,2,0,0
LQUCNMPR,38,0,0,0,1,1,1,1,0,12,0,0,0,0,4
LREDLJOV,38,0,0,0,0,1,2,1,0,13,1,0,0,1,0
66TV4H,37,1,0,0,1,0,2,1,0,11,1,1,0,1,0
C53VCZRP,37,1,0,0,0,1,1,3,0,10,1,1,0,0,2
C5TY1Q,37,0,0,0,0,0,1,1,0,15,1,0,0,0,0
C65GC2QD,37,0,0,0,1,1,1,1,0,12,1,0,0,1,0
F8QYDWTF,37,0,0,0,1,0,1,0,0,15,0,0,0,1,0
F8R3FVQG,37,0,0,0,0,1,1,0,0,12,1,1,0,1,1
LLX4KUG5,37,0,0,0,0,0,1,0,0,15,1,1,0,0,0
LMM1451C,37,0,0,0,1,1,1,1,0,12,1,0,0,1,0
LN688T7,37,0,0,0,0,0,1,1,0,13,1,0,1,0,1
LO61WF11,37,0,0,0,0,0,1,0,0,16,1,0,0,0,0
LOOAQCSU,37,0,0,0,0,1,1,2,0,10,2,0,0,3,1
LP4NO54P,37,0,0,0,0,0,1,1,0,15,0,0,0,1,0
LPSDAA8R,37,0,0,0,0,1,1,1,0,13,1,0,1,0,0
LQCCK4DV,37,0,0,0,0,0,1,0,0,16,1,0,0,0,0
LREG9X71,37,0,0,0,0,1,1,1,0,14,1,0,0,0,0
LRKBD9DM,37,0,0,0,0,0,1,1,0,13,1,0,1,1,0
LRRSHJ9P,37,0,0,0,1,0,1,1,0,10,1,1,1,1,1
3O6UAVRI,36,0,0,0,1,0,1,2,0,13,1,0,0,0,0
7JZIVM,36,0,0,0,0,0,2,1,0,12,1,1,1,0,0
C5Q2VVTW,36,1,0,0,1,1,1,1,0,12,0,0,1,0,0
F8X46NJE,36,0,0,0,1,0,2,1,0,11,1,1,1,0,0
F96B969X,36,1,0,0,0,0,1,1,0,12,1,1,0,1,0
F9CPL21P,36,1,0,0,0,0,1,1,0,14,0,0,0,1,0
F9GVHOWZ,36,1,0,0,1,1,1,1,0,11,1,1,0,0,0
LLM6W4CS,36,0,0,0,0,0,1,2,0,13,1,0,0,0,1
LLOMA8N8,36,1,0,0,1,0,1,1,0,12,1,1,0,0,0
LM1YNYI9,36,1,0,0,1,0,1,1,0,12,0,0,1,1,0
LMRMB394,36,0,0,0,0,0,1,1,0,14,2,0,0,0,0
LMU3DS6B,36,0,0,0,1,0,2,1,0,13,0,0,0,0,1
LN76OJ22,36,0,0,0,1,0,1,1,0,10,2,1,1,1,0
LNBKG2D3,36,1,0,0,0,0,1,1,0,13,1,1,0,0,0
LNHFARMD,36,0,0,0,0,0,2,1,0,14,1,0,0,0,0
LOCN7LIE,36,1,0,0,0,1,1,0,0,15,0,0,0,0,0
LOVHVWRN,36,1,0,0,0,1,1,1,0,14,0,0,0,0,0
LOW9H2TN,36,0,0,0,1,1,1,0,0,12,2,1,0,0,0
LOY2EBIT,36,0,0,0,0,0,1,1,0,12,0,0,0,3,2
LPEG22X8,36,0,0,0,0,0,2,1,0,13,1,0,0,1,0
LQMYLT5O,36,0,0,0,0,0,1,2,0,13,0,0,0,1,1
LQXDCCE2,36,0,0,0,0,0,1,0,0,14,2,0,1,0,0
LR2PCVYZ,36,1,0,1,1,1,1,1,0,11,1,0,0,0,0
LRU32M3T,36,0,0,0,0,0,2,1,0,12,0,0,1,1,1
LS7BQP4M,36,0,0,0,0,0,2,1,0,13,1,0,0,1,0
LSJA7SJ6,36,1,0,0,0,0,1,0,0,14,1,0,0,1,0
2Z7TIP,35,0,0,0,0,0,1,1,0,14,1,0,0,0,0
4XCM7X,35,0,0,0,1,0,1,1,0,11,1,1,1,0,0
7EMND6,35,0,0,0,0,0,1,1,0,13,1,0,1,0,0
C592BFVI,35,0,0,0,0,0,1,1,0,13,1,0,0,1,0
C596JP94,35,0,0,0,0,0,1,1,0,14,0,0,0,1,0
C5EYMKHG,35,1,0,0,1,0,1,0,0,12,0,0,0,2,1
C5NV742M,35,0,0,0,1,0,1,1,0,11,1,1,0,1,0
C5U59GID,35,1,0,0,1,0,1,2,0,12,0,0,0,0,1
EGCXCO,35,0,0,0,0,1,1,0,0,12,1,1,0,1,0
F8TTFP6G,35,2,0,0,0,0,1,0,0,11,1,1,1,1,0
F8ZJPJW9,35,0,0,0,0,0,1,1,0,14,1,0,0,0,0
F984CQD6,35,0,0,0,0,0,1,1,0,13,1,0,1,0,0
F9ECHIPQ,35,0,0,0,1,0,1,1,0,11,1,1,1,0,0
F9GHUSNB,35,0,0,0,0,0,1,0,0,16,0,0,0,0,0
K5CX,35,0,0,0,0,0,1,1,0,12,1,1,1,0,0
KBQ9KMSG,35,0,0,0,0,1,1,1,0,12,1,1,0,0,0
LLIUMTKY,35,0,0,0,0,0,1,1,0,14,1,0,0,0,0
LLLHRZEL,35,0,0,0,0,1,1,1,0,11,1,0,0,0,3
LLN9BFRY,35,0,0,0,0,0,1,0,0,14,1,0,0,1,0
LLNLEXYV,35,0,0,0,0,1,1,1,0,10,1,1,1,1,0
LLUV69EM,35,0,0,0,0,1,1,1,0,12,1,1,0,0,0
LLWVUFIL,35,2,0,0,0,1,1,1,0,11,0,0,1,1,0
LLZSJWTF,35,0,0,0,1,1,1,1,0,11,1,0,1,0,0
LM3LTG83,35,0,0,0,1,0,1,1,0,11,1,1,0,1,0
LM6XTMW2,35,0,0,0,0,0,1,1,0,13,1,0,0,1,0
LMH34TPA,35,0,0,0,0,0,1,1,0,13,1,1,0,0,0
LMX18726,35,0,0,0,1,0,1,0,0,11,1,0,2,0,2
LN9Q9VV1,35,0,0,0,0,0,1,1,0,13,1,0,1,0,0
LNE1BFGR,35,0,0,0,0,0,1,0,0,12,0,0,3,1,1
LNRD6MWD,35,0,0,0,1,1,1,0,0,11,1,0,1,1,0
LNXEEEI8,35,0,0,0,0,1,1,1,0,13,1,0,0,0,0
LOMNN8VB,35,0,0,0,1,0,1,1,0,11,1,1,0,0,1
LOSGWCBL,35,0,0,0,2,0,1,0,0,12,2,0,0,0,1
LOVT688L,35,0,0,0,0,0,1,1,0,13,1,0,0,1,0
LP1CGYQP,35,1,0,0,0,1,1,4,0,11,0,0,1,0,0
LP21WBLM,35,0,0,0,0,0,1,1,0,12,1,1,0,1,0
LP2ZNAXR,35,1,0,0,0,0,1,4,0,10,1,0,1,1,0
LPLQDKC7,35,0,0,0,0,1,3,0,0,13,1,0,0,0,0
LPM1U5R8,35,0,0,0,0,0,1,1,0,14,1,0,0,0,0
LPMBX7T2,35,0,0,0,0,0,1,1,0,13,1,0,0,1,0
LPMSJ4J6,35,0,0,0,0,0,1,1,0,15,0,0,0,0,0
LPRBEW26,35,0,0,0,0,0,1,1,0,14,1,0,0,0,0
LPXHIMLK,35,0,0,0,0,1,1,1,0,12,1,0,1,0,0
LQ2DHED6,35,0,0,0,0,0,1,0,0,14,1,0,0,1,0
