Seed,Score,Natural Negative Jokers,Natural Negative Jokers Desired,Turtle Bean,Joker Stencil,Negative_Joker Stencil,Oops All 6s,Negative_Oops All 6s
CRUD43X8,22,1,8,0,3,3,0,3
HELLJC4M,21,4,7,0,1,4,0,1
SUCKISF4,21,0,8,0,5,2,0,2
BUTTJ96K,20,2,6,0,2,3,0,3
VOMITQH4,20,0,9,0,5,3,0,0
BURP97VY,19,4,5,0,1,0,0,4
DOPE4UG1,19,1,6,0,2,5,0,1
KEKSNGSI,19,1,7,0,4,1,0,2
REKTGFXH,19,1,7,0,2,1,0,4
CRUDY5RB,18,2,5,0,1,3,0,1
DAMN1KV1,18,0,7,0,2,1,0,4
DOPEL6R5,18,0,7,0,4,1,0,2
FIRE68FS,18,0,7,0,3,3,0,1
FIREFEM1,18,1,6,0,2,1,0,4
HAHALC4P,18,0,6,0,5,1,0,2
NOOBC19Y,18,3,5,0,0,2,1,3
SCUMJ5VW,18,1,6,0,1,4,0,2
SICK5VN1,18,0,7,0,3,2,0,2
SNOTQWPD,18,2,5,0,2,1,0,2
SUCKOZCC,18,3,5,0,4,1,0,1
1BUTTRZI,17,1,4,0,1,4,1,1
BILEWBJ6,17,1,5,0,2,1,0,2
BURPS1Z1,17,1,6,0,1,4,0,1
CRUDK6UL,17,1,5,0,1,3,1,1
CRUDSWYT,17,4,4,0,2,1,0,2
CRUDV9NZ,17,1,6,0,2,1,0,3
DERP6YCV,17,1,7,0,4,0,0,2
DERP8D7Z,17,0,6,0,3,2,0,2
DERPDH9Y,17,3,5,0,1,1,0,3
HAHAVMIO,17,0,6,0,2,3,0,2
HELL4L2A,17,2,4,0,1,1,0,3
LMAOBXH4,17,3,4,0,2,3,1,0
LMAOFPSF,17,0,6,0,3,1,0,3
MOLDODH8,17,0,7,0,2,2,0,2
PLEB6RXP,17,3,5,0,2,2,0,1
POOPWBLO,17,1,5,0,2,2,0,3
WINE4TV1,17,1,6,0,1,1,0,4
YOLOJJP7,17,2,5,0,1,1,0,4
1DERP5E7,16,2,5,0,1,2,0,2
1HIGHZGR,16,1,5,0,4,1,0,1
ACID3ZLQ,16,1,5,0,2,3,0,1
ACIDZWF8,16,1,5,0,4,1,0,1
BEERHIB3,16,2,5,0,4,0,0,2
BURPLPCD,16,2,4,0,2,2,0,2
BUZZN1W3,16,1,4,0,1,3,0,3
BUZZQ2G7,16,0,6,0,0,5,0,2
CRUDAAI1,16,0,6,0,1,1,0,4
CRUDLB69,16,3,5,0,1,1,0,2
DERPMTHY,16,1,4,0,1,1,1,3
DERPSW6S,16,1,5,0,1,2,0,1
DOPEMF2N,16,1,5,0,1,4,0,1
DOPEQDEP,16,1,6,0,3,3,0,0
DOPEUOYX,16,0,6,0,2,1,0,3
DRUG8WAC,16,2,5,0,1,1,0,3
DRUGA5AS,16,3,4,0,2,1,0,2
EPICFU79,16,3,5,0,2,1,0,1
EWWW8LSB,16,0,6,0,1,4,0,1
EWWWD61Q,16,3,5,0,2,1,0,1
EWWWDCVW,16,0,6,0,1,4,0,1
FAILC9AR,16,1,5,0,2,3,1,0
FAILM56S,16,0,6,0,4,1,0,1
FIREXJ6R,16,0,6,0,1,3,0,2
JOKE3Z4J,16,3,4,0,2,2,0,1
JOKEZYNC,16,2,5,0,1,3,0,1
KEKSOIAY,16,0,7,0,3,1,0,1
KEKSOSWZ,16,0,6,0,2,1,0,3
LULZILCK,16,2,5,0,1,2,0,2
MEME9QJ8,16,0,6,0,2,2,0,2
MEMEDMF9,16,2,5,0,3,1,0,1
