Seed,Score,Negative_Jokers,Ace,2,3,4,5,6,7,8,9,Jack,Queen,King,10
MAIL19FE,80,0,4,0,1,6,3,2,5,2,16,4,3,3,3
MAIL1LTY,80,0,15,2,3,5,5,3,2,3,2,3,2,5,2
MAIL11FD,79,0,5,4,2,5,2,4,4,1,14,2,2,3,4
MAIL12W6,79,0,6,3,3,0,3,5,3,15,4,2,4,3,1
MAIL13P9,79,0,3,3,15,2,5,0,4,5,3,3,5,3,1
MAIL14Q6,79,0,3,3,1,3,4,4,2,1,6,5,5,14,1
MAIL14YU,79,0,1,4,4,3,3,3,14,2,5,4,4,2,3
MAIL18E8,79,0,5,2,1,5,3,2,5,4,6,2,2,1,14
MAIL18FT,79,0,3,3,2,1,3,14,1,8,4,4,4,3,2
MAIL1A6T,79,0,4,1,2,5,14,3,3,4,2,3,5,3,3
MAIL1HKN,79,0,3,3,1,3,4,3,14,5,4,4,4,2,2
MAIL1M52,79,0,2,2,3,4,1,6,5,1,4,14,3,5,2
MAIL1OL4,79,0,2,5,3,6,14,1,3,2,1,3,4,6,2
MAIL1RGK,79,0,4,4,3,1,4,2,6,3,14,2,2,5,2
MAIL11P7,78,0,5,5,2,1,2,2,13,4,5,5,2,2,4
MAIL13UQ,78,0,2,2,4,4,1,2,3,5,5,2,6,13,3
MAIL14GV,78,0,2,13,3,4,3,2,4,4,5,4,3,2,3
MAIL14M8,78,0,5,5,13,5,3,2,1,6,3,4,1,2,2
MAIL15BW,78,0,8,2,2,3,3,2,2,13,3,3,1,6,4
MAIL15Q2,78,0,2,3,2,3,5,4,7,13,3,2,2,3,3
MAIL168R,78,0,5,2,4,2,13,4,5,3,6,4,2,1,1
MAIL16N1,78,0,1,3,4,4,7,3,4,2,1,2,7,1,13
MAIL188H,78,0,4,5,5,4,3,4,2,2,3,1,2,4,13
MAIL19CV,78,0,3,2,14,7,3,2,5,4,0,5,2,2,3
MAIL19SO,78,0,6,3,3,4,13,1,5,3,2,4,2,3,3
MAIL1BYE,78,0,3,1,0,14,2,8,3,4,1,6,4,1,5
MAIL1CLH,78,0,3,2,4,2,4,3,4,5,13,3,1,5,3
MAIL1D6Z,78,0,5,0,4,3,7,3,3,5,2,1,3,14,2
MAIL1E5O,78,0,2,6,7,13,2,2,7,1,2,4,1,2,3
MAIL1EEJ,78,0,2,5,8,4,3,3,13,1,2,5,4,1,1
MAIL1FB6,78,0,4,5,3,1,3,4,13,2,3,3,5,4,2
MAIL1G82,78,0,13,2,4,5,4,5,1,1,3,4,1,5,4
MAIL1H42,78,0,2,3,3,3,3,3,2,5,3,13,1,4,7
MAIL1ID3,78,0,5,3,3,3,4,2,1,1,3,6,5,13,3
MAIL1IEO,78,0,1,3,7,3,2,4,4,3,13,4,2,1,5
MAIL1J49,78,0,2,6,3,2,13,1,4,2,3,6,3,3,4
MAIL1JDK,78,0,4,2,0,2,7,3,2,2,14,4,2,7,3
MAIL1MF9,78,0,4,3,3,3,4,4,3,5,3,3,13,1,3
MAIL1MRI,78,0,5,3,1,13,3,2,2,3,2,7,3,4,4
MAIL1N3O,78,0,13,4,2,3,2,3,5,3,1,3,3,6,4
MAIL1NMH,78,0,1,4,1,13,2,6,4,6,2,4,3,4,2
MAIL1OQM,78,0,13,2,4,3,1,3,2,3,3,6,4,4,4
MAIL1QCG,78,0,4,1,1,5,1,3,5,5,2,5,13,4,3
MAIL1QVG,78,0,4,1,2,7,4,3,2,3,4,3,13,4,2
MAIL1RBF,78,0,4,1,5,9,3,1,4,1,4,3,3,13,1
MAIL1SPX,78,0,4,2,2,3,3,4,13,4,5,2,3,6,1
MAIL111G,77,0,5,5,3,4,2,6,3,3,2,5,12,1,1
MAIL111L,77,0,2,5,5,1,12,4,6,2,1,2,2,9,1
MAIL1157,77,0,3,2,2,4,12,6,4,3,5,4,3,1,3
MAIL11B5,77,0,4,0,5,6,5,1,4,2,13,5,4,2,1
MAIL11B6,77,0,3,3,6,6,5,2,1,5,12,1,3,4,1
MAIL11JR,77,0,4,6,5,3,2,4,12,3,2,1,4,3,3
MAIL11TG,77,0,4,2,3,5,5,4,6,4,2,12,2,1,2
MAIL122Y,77,0,2,3,2,3,6,2,3,3,12,2,2,6,6
MAIL127U,77,0,4,3,5,2,4,2,5,12,3,3,3,3,3
MAIL12DK,77,0,3,3,1,2,12,3,8,3,4,1,6,4,2
MAIL12NV,77,0,2,6,3,12,5,5,4,2,4,2,3,1,3
MAIL131B,77,0,12,8,2,4,5,3,3,2,4,5,1,2,1
MAIL15C4,77,0,4,1,2,5,4,1,3,6,3,12,6,2,3
MAIL16OH,77,0,4,4,2,4,7,2,3,3,3,12,2,3,3
MAIL16RN,77,0,2,2,4,3,2,13,2,5,3,0,3,4,9
MAIL16V1,77,0,2,6,3,5,3,2,4,12,2,3,5,3,2
MAIL173K,77,0,2,2,2,6,3,3,4,4,13,5,2,0,6
MAIL175F,77,0,2,3,7,4,4,1,2,4,12,1,4,5,3
MAIL17TB,77,0,5,5,3,5,1,4,5,2,3,3,12,3,1
MAIL186Y,77,0,2,1,4,4,2,7,4,2,12,5,1,6,2
MAIL189Y,77,0,2,5,12,2,2,4,2,6,8,2,3,3,1
MAIL18N8,77,0,0,3,5,6,13,4,3,2,1,1,5,3,6
MAIL18U8,77,0,2,5,2,1,6,12,3,5,2,1,7,4,2
MAIL1959,77,0,4,4,5,1,5,5,2,3,12,2,4,4,1
MAIL19VQ,77,0,2,5,6,4,3,3,2,2,4,12,2,3,4
MAIL1A5Y,77,0,4,2,2,1,5,12,4,4,4,5,4,3,2
MAIL1AEC,77,0,2,3,6,3,3,2,12,4,2,7,1,1,6
MAIL1AGF,77,0,3,1,3,1,2,7,6,12,4,2,2,6,3
MAIL1AIV,77,0,3,12,3,1,2,3,6,2,5,1,8,2,4
MAIL1AKA,77,0,4,2,12,4,2,2,3,7,5,1,3,2,5
MAIL1AO4,77,0,6,3,3,3,2,2,4,3,12,5,3,1,5
MAIL1AR1,77,0,2,4,7,4,1,2,2,2,1,7,5,3,12
MAIL1B1E,77,0,4,1,3,4,2,4,6,12,4,5,2,3,2
MAIL1B27,77,0,4,12,2,2,1,4,7,4,2,5,5,3,1
MAIL1BHW,77,0,3,5,12,2,4,5,1,1,5,2,3,5,4
MAIL1BIE,77,0,4,1,4,9,3,3,2,5,12,4,2,2,1
MAIL1BLS,77,0,2,4,1,5,12,7,1,3,1,3,5,6,2
MAIL1BNN,77,0,12,1,3,7,2,3,2,5,2,3,4,2,6
MAIL1BO7,77,0,1,3,3,3,2,2,5,3,6,3,6,12,3
MAIL1BPF,77,0,2,2,3,3,4,1,12,2,5,6,2,9,1
MAIL1CBW,77,0,5,1,3,12,6,6,1,2,5,4,3,1,3
MAIL1CWB,77,0,4,4,7,3,3,4,3,1,4,1,12,5,1
MAIL1CZI,77,0,3,12,3,5,3,2,3,5,3,1,5,1,6
MAIL1DGB,77,0,1,1,1,7,5,3,6,7,3,2,3,1,12
MAIL1DMW,77,0,3,2,7,2,4,3,2,2,2,12,4,5,4
MAIL1DRE,77,0,1,1,7,4,3,5,12,5,3,1,2,2,6
MAIL1DSV,77,0,4,3,1,2,5,1,7,4,12,2,4,4,3
MAIL1E4E,77,0,12,6,4,3,6,2,4,2,5,4,1,2,1
MAIL1EGS,77,0,2,3,3,2,4,12,6,4,5,4,2,4,1
