Seed,Score,Negative_Jokers,Oops_All_6s,Negative_Oops_All_6s,Negative_Blueprint,Negative_Brainstorm,Negative_Lucky_Cat,Negative_Perkeo,Negative_Chicot,Negative_Negative_Tag,Negative_Joker_Stencil,Negative_Baron,Negative_Mime,Space_Joker,Negative_Space_Joker
1LMB437H,23,0,1,1,0,1,0,0,0,13,1,0,0,0,0
8B9V5Y6,23,0,1,1,0,0,2,0,0,10,0,0,0,1,1
8BUBB3E,23,0,1,0,0,0,0,0,0,13,0,0,1,1,1
11LMPAJM,22,0,2,1,0,0,0,0,0,10,1,0,0,2,0
89NFO3O,21,0,1,0,1,0,0,0,0,10,0,0,0,2,1
898XNK7,20,0,1,1,0,0,0,0,0,10,0,0,0,1,1
89DM79P,20,0,1,1,1,0,0,0,0,7,0,0,2,1,0
8AW99XG,20,0,1,0,1,0,1,0,0,10,0,0,1,0,0
8AYT6KD,20,0,1,0,0,0,1,0,0,10,0,0,0,1,1
8B4NS2V,20,0,3,2,1,0,0,0,0,7,1,0,0,0,0
8BJOSQ4,20,0,2,2,0,0,0,0,0,10,0,0,0,1,0
1EPIFX6,19,0,1,1,0,0,0,0,0,7,0,0,0,3,1
89OUK3T,19,0,1,0,0,0,0,0,0,7,0,1,0,2,2
89RV49Z,19,0,1,0,0,0,0,0,0,7,0,1,1,1,1
8A3WJTV,19,0,1,1,0,0,0,0,0,10,0,0,0,2,0
8A9WNJ7,19,1,1,1,0,0,0,0,0,13,0,0,0,0,0
8ACDV59,19,0,1,1,0,0,0,0,0,7,1,0,0,1,1
8ALGBXK,19,0,1,1,0,0,0,0,0,7,1,0,0,1,1
8B1EZUU,19,0,3,2,0,0,0,0,0,10,0,0,0,0,0
8B678WD,19,0,2,1,0,0,0,0,0,10,1,0,0,0,0
8B6MUVS,19,0,1,1,1,0,0,0,0,7,0,0,0,1,1
8B85WE2,19,0,1,1,0,1,0,0,0,7,0,0,0,1,1
8BO3FVO,19,0,1,1,0,0,0,0,0,10,0,2,0,0,0
8BPA9MV,19,0,2,1,0,0,0,0,0,7,0,0,0,2,1
B9ANM,19,0,2,2,0,0,0,0,0,7,0,0,0,1,1
FZ69U,19,0,1,0,0,0,0,0,0,13,1,0,0,0,0
